customer_id,age,annual_income,purchase_frequency,avg_order_value,satisfaction
SEG0070,18,22781.83,11.51,60.53,2.99
SEG0071,23,55666.62,11.82,196.03,3.39
SEG0072,45,84848.8,27.51,150.71,4.3
SEG0073,39,71734.49,22.88,116.81,4.45
SEG0074,29,62014.8,4.05,229.84,3.88
SEG0075,37,34707.6,8.53,184.29,2.9
SEG0076,35,40310.04,8.98,290.47,3.64
SEG0077,57,95165.18,35.66,69.96,4.49
SEG0078,28,43631.49,11.57,196.48,3.75
SEG0079,32,26493.33,6.82,50.71,2.56
SEG0080,27,34659.51,14.05,44.61,2.24
SEG0081,35,44467.89,8.57,220.09,3.13
SEG0082,32,48965.24,10.93,177.64,3.14
SEG0083,32,57278.63,10.91,232.67,3.82
SEG0084,50,80211.41,22.79,127.79,3.59
SEG0085,36,47398.02,8.45,215.89,3.33
SEG0086,59,95798.28,29.48,56.88,4.86
SEG0087,36,103199.17,31.15,84.53,4.48
SEG0088,35,28624.05,11.4,43.76,2.81
SEG0089,55,115886.28,31.43,69.77,4.99
SEG0090,63,56787.35,20.38,80.64,4.4
SEG0091,20,29845.97,21.64,31.83,2.9
SEG0092,38,57611.3,23.55,89.35,3.49
SEG0093,30,41795.28,7.42,228.16,3.14
SEG0094,32,28174.48,9.39,23.52,2.54
SEG0095,42,36579.09,9.31,33.54,3.23
SEG0096,27,28120.94,7.41,65.52,2.45
SEG0097,37,50098.84,7.74,199.43,4.14
SEG0098,28,23890.88,11.58,43.86,2.67
SEG0099,26,28883.49,13.58,63.41,1.66
SEG0100,28,28888.72,6.35,23.65,2.66
SEG0101,31,46917.47,12.81,198.73,3.28
SEG0102,50,81985.08,37.87,85.09,5.0
SEG0103,29,55380.62,12.19,248.04,4.21
SEG0104,30,31989.44,1.0,49.13,2.77
SEG0105,65,83983.81,31.87,48.76,3.97
SEG0106,61,120341.63,37.21,82.23,5.0
SEG0107,26,37173.9,4.73,13.88,2.28
SEG0108,57,102137.62,31.26,80.96,5.0
SEG0109,47,67250.55,15.95,99.25,4.8
SEG0110,25,35909.05,12.56,44.45,2.46
SEG0111,30,72846.66,4.18,274.25,3.87
SEG0112,47,76316.92,20.08,97.17,3.85
SEG0113,60,113710.56,33.26,79.29,5.0
SEG0114,30,47014.78,19.81,156.47,3.3
SEG0115,34,43478.78,8.62,213.14,3.61
SEG0116,32,58621.12,13.85,281.21,3.34
SEG0117,23,33126.71,17.9,44.47,2.88
SEG0118,39,59226.29,13.09,156.27,3.07
SEG0119,43,95274.27,30.91,128.68,4.65
SEG0120,25,27239.83,4.68,43.64,2.34
SEG0121,49,85901.78,26.22,131.67,4.01
SEG0122,47,77142.35,35.15,72.72,4.11
SEG0123,42,67894.94,12.82,240.52,3.63
SEG0124,34,53529.78,10.51,254.24,3.7
SEG0125,18,38630.83,10.8,31.56,2.59
SEG0126,36,37297.2,5.43,166.47,3.06
SEG0127,37,46176.32,8.37,255.7,3.3
SEG0128,63,121904.52,35.38,84.9,5.0
SEG0129,36,59945.25,3.31,216.39,3.68
SEG0130,28,46413.75,9.23,27.35,2.52
SEG0131,63,82602.65,31.85,73.79,4.67
SEG0132,30,62267.35,16.67,179.37,2.91
SEG0133,25,40104.44,8.97,48.63,2.09
SEG0134,45,49235.13,9.0,181.48,3.1
SEG0135,43,79461.18,29.45,81.73,3.77
SEG0136,30,53124.17,3.48,215.38,3.21
SEG0137,42,67123.72,21.95,138.15,4.7
SEG0138,39,62414.84,12.92,212.23,4.34
SEG0139,33,26528.77,7.33,46.49,2.9
SEG0140,57,80870.15,35.16,56.57,4.84
SEG0141,28,24267.47,17.11,45.17,1.97
SEG0142,28,22034.5,11.44,53.52,3.72
SEG0143,29,28204.59,10.83,59.26,2.73
SEG0144,48,88671.18,28.03,89.91,3.54
SEG0145,25,40791.48,3.67,310.01,3.18
SEG0146,44,74575.75,26.77,132.0,3.63
SEG0147,47,68455.23,23.15,121.24,4.56
SEG0148,54,99619.02,33.61,79.24,4.79
SEG0149,26,53187.5,4.34,134.82,3.29
SEG0150,40,119561.12,29.9,152.43,4.02
SEG0151,42,114104.82,23.46,137.29,5.0
SEG0152,54,100642.3,31.93,60.34,5.0
SEG0153,21,36468.97,11.72,53.89,2.41
SEG0154,30,37910.8,4.36,33.04,2.76
SEG0155,48,79902.49,29.68,119.64,4.77
SEG0156,34,44711.05,13.7,260.02,3.3
SEG0157,25,35461.05,6.0,48.17,2.42
SEG0158,59,62343.93,28.37,79.19,5.0
SEG0159,42,88144.68,20.07,117.17,4.33
SEG0160,34,59138.1,6.97,208.04,3.79
SEG0161,25,26771.87,11.86,35.46,3.14
SEG0162,47,92738.83,38.51,107.6,4.66
SEG0163,50,88882.63,24.03,143.36,3.81
SEG0164,19,34904.58,12.25,33.26,2.44
SEG0165,21,29342.81,8.25,52.33,2.27
SEG0166,35,102088.82,27.98,155.63,4.47
SEG0167,49,84129.12,27.86,133.64,4.0
SEG0168,33,30475.88,10.47,48.66,2.7
SEG0169,28,53883.21,3.92,228.64,3.85
SEG0170,54,86110.79,29.46,98.89,4.44
SEG0171,36,94882.31,21.74,102.05,4.54
SEG0172,38,38093.22,8.58,35.21,2.31
SEG0173,44,76913.35,21.88,166.78,4.79
SEG0174,69,68709.16,28.77,79.14,4.7
SEG0175,40,65979.05,22.01,187.95,3.56
SEG0176,25,40878.55,8.77,206.79,3.69
SEG0177,24,32507.32,10.34,60.59,3.3
SEG0178,27,36924.42,10.65,52.63,2.67
SEG0179,62,113048.19,33.7,77.26,5.0
SEG0180,33,46607.73,1.78,240.58,3.81
SEG0181,24,46255.04,11.0,213.05,3.52
SEG0182,48,76481.91,27.54,99.09,4.36
SEG0183,26,39862.36,5.99,246.56,3.52
SEG0184,53,113478.8,33.28,92.24,4.3
SEG0185,37,41111.86,13.65,49.83,2.72
SEG0186,30,24090.6,7.61,43.97,2.04
SEG0187,67,106826.21,39.13,88.04,4.07
SEG0188,36,29404.24,15.46,59.93,3.11
SEG0189,49,84084.73,25.96,183.91,4.32
SEG0190,26,34545.43,14.6,56.01,2.01
SEG0191,49,87678.3,24.62,106.42,4.84
SEG0192,52,100039.59,20.77,124.0,4.23
SEG0193,37,36651.71,9.1,46.6,2.82
SEG0194,32,41679.79,15.83,57.35,2.16
SEG0195,39,64089.9,27.69,116.57,4.47
SEG0196,47,81460.09,29.63,112.39,3.55
SEG0197,30,60123.54,15.48,293.11,3.42
SEG0198,40,39341.97,14.34,247.27,3.87
SEG0199,18,34907.86,17.55,48.37,2.48
SEG0200,42,68556.01,26.55,96.61,4.42
SEG0201,65,91299.1,33.73,74.77,4.9
SEG0202,40,56349.08,11.64,247.67,3.91
SEG0203,60,104726.35,34.97,74.63,4.92
SEG0204,53,66907.11,32.57,62.63,5.0
SEG0205,38,89392.38,23.34,130.61,3.72
SEG0206,21,33899.78,8.59,52.78,3.08
SEG0207,19,38294.2,6.15,41.7,1.87
SEG0208,20,20795.68,8.38,45.61,2.33
SEG0209,23,33682.87,8.04,258.19,3.61
SEG0210,39,31780.44,11.26,44.79,2.15
SEG0211,57,112791.25,35.51,80.9,5.0
SEG0212,37,55058.42,14.01,185.39,4.14
SEG0213,52,93307.37,24.65,79.15,5.0
SEG0214,28,49352.85,7.11,209.59,3.03
SEG0215,28,41043.25,8.0,47.28,2.6
SEG0216,26,33602.8,8.48,49.13,2.47
SEG0217,26,35160.85,1.0,200.15,3.87
SEG0218,24,30577.82,7.38,36.73,3.49
SEG0219,53,74146.66,28.42,76.23,4.44
SEG0220,30,27793.51,7.65,38.0,2.46
SEG0221,38,59667.59,13.63,156.47,3.03
SEG0222,37,77953.08,21.69,110.29,4.51
SEG0223,40,58486.68,9.28,187.93,3.51
SEG0224,41,58192.16,11.54,266.01,3.35
SEG0225,32,29812.55,12.38,57.14,3.2
SEG0226,62,104948.58,37.55,60.73,5.0
SEG0227,35,53291.8,6.2,163.22,4.16
SEG0228,45,72816.78,27.4,120.37,3.43
SEG0229,57,73181.17,32.95,101.17,4.41
SEG0230,63,86712.0,31.92,60.51,4.98
SEG0231,36,33108.49,12.14,50.28,2.39
SEG0232,36,29018.17,3.71,35.88,2.78
SEG0233,56,99637.13,31.05,77.98,5.0
SEG0234,43,42927.04,11.73,229.52,2.95
SEG0235,46,103952.62,23.05,123.46,3.48
SEG0236,27,32922.69,17.9,35.75,2.93
SEG0237,36,72911.0,8.7,217.51,3.88
SEG0238,31,37389.52,12.25,30.39,2.73
SEG0239,31,27739.48,11.16,26.82,2.61
SEG0240,47,91471.42,28.8,104.65,3.54
SEG0241,34,34332.31,11.97,61.64,1.78
SEG0242,45,46738.11,11.3,219.36,3.34
SEG0243,25,45706.17,9.87,237.18,3.93
SEG0244,30,58989.93,8.26,250.63,3.73
SEG0245,25,33452.67,11.84,52.79,3.18
SEG0246,24,25281.62,15.15,32.27,2.97
SEG0247,29,46106.55,7.68,149.75,3.06
SEG0248,24,58263.89,7.95,220.7,3.47
SEG0249,28,29223.52,13.83,27.54,1.85
SEG0250,42,54499.84,1.0,235.46,2.78
SEG0251,51,90917.75,34.39,121.45,3.65
SEG0252,25,29018.16,11.54,26.87,2.5
SEG0253,28,47198.6,13.53,268.53,3.83
SEG0254,47,74287.09,25.81,85.02,3.64
SEG0255,44,62277.9,28.76,128.58,4.07
SEG0256,54,105951.56,34.71,60.48,4.46
SEG0257,27,33848.84,11.23,43.99,2.82
SEG0258,33,38927.22,13.35,267.43,2.88
SEG0259,29,39491.3,8.78,52.64,3.0
SEG0260,60,135803.31,34.6,76.68,4.62
SEG0261,43,70075.03,21.55,104.28,4.14
SEG0262,63,103759.93,32.68,109.99,5.0
SEG0263,38,87890.03,21.25,137.66,3.58
SEG0264,54,109005.4,30.18,57.2,4.39
SEG0265,28,55860.3,12.81,210.46,3.96
SEG0266,25,31417.39,17.14,43.24,2.98
SEG0267,30,51811.46,4.57,223.22,3.61
SEG0268,33,28664.03,9.33,56.77,1.96
SEG0269,18,28236.08,12.44,45.82,2.07
SEG0270,43,72851.88,19.74,120.27,4.54
SEG0271,32,37838.45,14.9,171.93,3.67
SEG0272,33,34429.16,9.07,27.02,3.03
SEG0273,27,61098.99,12.44,160.89,2.94
SEG0274,32,60607.7,5.61,224.54,3.27
SEG0275,48,69085.88,23.12,100.47,3.72
SEG0276,34,29939.01,6.2,28.46,2.38
SEG0277,29,42540.76,4.9,225.89,2.98
SEG0278,26,37101.04,7.79,34.47,2.97
SEG0279,27,30994.09,12.08,44.14,2.53
SEG0280,19,27164.6,17.45,34.7,2.53
SEG0281,38,35955.93,11.16,37.06,2.22
SEG0282,32,55155.49,13.09,225.69,3.24
SEG0283,42,85310.04,27.35,122.89,3.7
SEG0284,64,93381.17,32.98,63.84,4.38
SEG0285,37,40146.31,3.35,293.02,3.87
SEG0286,61,79081.04,32.88,73.78,4.5
SEG0287,33,38606.73,1.0,234.37,3.57
SEG0288,30,36432.86,12.05,59.7,3.03
SEG0289,28,32911.33,10.9,29.82,2.91
SEG0290,32,22452.57,16.2,40.76,2.44
SEG0291,33,50391.27,17.58,207.36,3.35
SEG0292,34,44059.12,9.17,180.26,3.73
SEG0293,22,28617.8,5.98,39.73,1.7
SEG0294,19,48985.41,1.86,303.92,3.34
SEG0295,32,33780.44,5.75,40.84,2.83
SEG0296,38,60109.26,5.37,248.27,3.23
SEG0297,49,91759.21,20.5,137.89,3.71
SEG0298,33,25501.3,11.29,52.31,2.53
SEG0299,48,82116.73,32.27,98.49,4.03
SEG0300,46,92768.07,27.25,52.12,4.0
SEG0301,31,54376.32,9.91,268.49,3.92
SEG0302,36,67573.97,26.77,135.96,4.82
SEG0303,41,88777.46,25.43,140.23,4.37
SEG0304,43,64296.86,27.11,148.4,4.25
SEG0305,18,30982.78,12.71,35.3,2.98
SEG0306,30,49007.18,8.82,175.41,3.91
SEG0307,36,25663.42,9.26,63.74,2.99
SEG0308,24,62923.42,1.0,249.75,3.11
SEG0309,31,33421.93,10.54,50.8,2.28
SEG0310,30,60709.98,8.02,192.43,3.42
SEG0311,26,30007.88,11.77,36.38,3.18
SEG0312,44,52220.45,27.1,103.39,4.19
SEG0313,42,87516.05,28.67,136.33,5.0
SEG0314,30,64782.61,13.57,236.33,3.71
SEG0315,64,92429.51,29.98,67.51,4.83
SEG0316,25,27840.09,5.86,35.26,2.21
SEG0317,24,32617.92,6.9,49.87,3.39
SEG0318,41,42068.78,6.8,158.5,3.59
SEG0319,30,33002.03,5.8,38.57,2.93
SEG0320,30,26999.84,4.86,44.28,2.44
SEG0321,20,30224.37,8.06,39.19,2.31
SEG0322,30,32515.85,15.02,46.96,2.86
SEG0323,26,53420.97,6.51,255.04,3.61
SEG0324,52,64916.82,23.15,139.76,4.14
SEG0325,37,83240.64,24.02,142.89,3.44
SEG0326,41,80203.14,26.68,149.99,4.09
SEG0327,31,31599.91,12.93,29.78,1.33
SEG0328,66,87970.94,25.19,72.35,4.47
SEG0329,45,84911.13,24.33,156.57,3.66
SEG0330,44,100603.9,30.97,43.74,4.97
SEG0331,48,96016.08,35.07,79.24,4.79
SEG0332,40,80365.69,28.03,111.56,3.69
SEG0333,63,130664.09,37.98,31.66,5.0
SEG0334,24,42371.81,5.85,33.83,2.48
SEG0335,41,73057.31,29.77,165.37,3.78
SEG0336,44,40481.33,5.58,342.62,3.67
SEG0337,24,33520.24,12.82,48.34,3.08
SEG0338,29,45880.23,4.44,179.8,3.52
SEG0339,52,103127.02,34.53,54.83,4.42
SEG0340,55,94131.45,31.34,89.94,5.0
SEG0341,29,58474.17,13.5,278.54,3.59
SEG0342,34,38862.13,6.35,147.69,4.01
SEG0343,32,51191.05,5.53,151.74,3.82
SEG0344,46,91107.6,18.99,167.72,4.14
SEG0345,48,40996.58,27.64,127.9,4.1
SEG0346,33,46420.46,2.35,158.81,3.51
SEG0347,51,93540.28,26.92,116.02,5.0
SEG0348,38,57565.86,2.67,232.37,2.94
SEG0349,40,27155.91,7.57,38.57,2.33
SEG0350,38,52028.36,8.17,254.8,2.82
SEG0351,47,79890.52,23.19,133.77,4.25
SEG0352,18,39918.87,14.83,32.07,2.16
SEG0353,66,109721.25,33.56,82.19,4.87
SEG0354,28,46714.98,11.99,251.76,3.63
SEG0355,30,61259.15,4.13,291.67,3.17
SEG0356,23,32173.87,10.85,45.96,1.9
SEG0357,31,37641.06,9.68,29.69,2.4
SEG0358,51,63924.88,29.81,101.8,4.66
SEG0359,41,87968.61,28.44,88.08,5.0
SEG0360,44,90729.75,23.62,74.08,4.15
SEG0361,36,94442.76,20.33,130.76,4.47
SEG0362,46,70966.54,18.88,86.9,3.86
SEG0363,50,96668.95,28.95,53.67,4.06
SEG0364,18,31675.0,7.06,45.25,2.47
SEG0365,33,58058.65,2.11,251.59,3.68
SEG0366,42,66655.99,26.16,142.83,3.57
SEG0367,32,42015.61,9.74,57.9,2.71
SEG0368,36,45441.28,6.64,172.53,3.92
SEG0369,24,42149.25,11.75,48.9,1.9
SEG0370,32,30730.92,7.74,38.51,1.94
SEG0371,43,75655.69,20.75,144.72,5.0
SEG0372,34,76410.14,32.63,107.77,4.4
SEG0373,60,109611.59,39.33,45.47,4.79
SEG0374,31,51627.73,8.18,205.76,3.01
SEG0375,22,44243.52,4.47,57.14,2.03
SEG0376,29,43336.71,13.18,30.76,2.35
SEG0377,34,61646.14,8.19,212.31,4.27
SEG0378,37,36024.3,7.5,18.75,1.92
SEG0379,19,31647.57,13.75,64.56,3.07
SEG0380,54,102479.89,33.61,49.27,4.31
SEG0381,31,71936.27,9.55,156.37,3.31
SEG0382,46,74474.14,24.58,150.94,4.83
SEG0383,35,30270.6,9.34,41.94,2.98
SEG0384,32,33996.59,9.93,245.62,3.32
SEG0385,45,46924.61,13.67,155.19,3.62
SEG0386,38,76974.05,29.05,113.71,3.89
SEG0387,42,130784.99,26.81,134.09,4.4
SEG0388,48,114244.2,34.85,45.57,5.0
SEG0389,28,25567.38,11.25,36.0,1.78
SEG0390,32,49870.16,1.7,182.23,3.04
SEG0391,56,109425.2,32.57,74.46,3.88
SEG0392,43,62725.78,19.13,155.1,3.6
SEG0393,59,89406.06,28.19,95.13,4.43
SEG0394,25,27766.35,10.7,43.42,2.18
SEG0395,28,51613.07,5.4,303.47,3.26
SEG0396,45,76722.87,24.84,155.72,4.46
SEG0397,46,85720.59,19.54,142.6,4.09
SEG0398,31,84388.65,2.11,215.62,3.42
SEG0399,34,42508.91,8.9,165.61,3.63
SEG0400,44,74571.83,25.71,175.31,4.46
SEG0401,44,83960.71,26.16,145.79,3.93
SEG0402,56,80637.84,37.31,193.4,3.97
SEG0403,59,104448.72,35.74,77.17,5.0
SEG0404,23,46290.59,7.24,187.73,2.72
SEG0405,48,62458.06,23.3,151.59,4.75
SEG0406,40,63444.26,22.75,161.88,4.73
SEG0407,60,102357.51,26.73,82.67,5.0
SEG0408,35,53889.55,3.87,276.55,2.89
SEG0409,34,56282.5,12.56,271.0,4.01
SEG0410,32,73751.96,12.35,202.92,3.37
SEG0411,33,29307.63,4.89,45.82,1.48
SEG0412,30,35674.67,8.94,56.38,2.88
SEG0413,37,78621.16,23.92,120.76,4.72
SEG0414,47,67925.62,26.9,108.39,3.98
SEG0415,43,75839.0,15.12,233.43,3.58
SEG0416,40,52950.2,2.3,308.04,2.97
SEG0417,65,111402.94,39.44,89.23,4.44
SEG0418,35,29907.09,6.09,26.87,2.44
SEG0419,24,65446.24,1.72,201.6,3.35
SEG0420,59,82700.79,36.54,77.69,4.69
SEG0421,24,35166.07,15.59,71.68,2.08
SEG0422,27,21015.24,12.72,31.48,2.62
SEG0423,65,90732.96,28.27,96.75,5.0
SEG0424,21,32804.85,6.59,55.5,2.56
SEG0425,43,43280.63,8.91,219.41,3.61
SEG0426,40,46395.97,28.72,131.53,3.83
SEG0427,40,61583.38,18.57,159.71,4.46
SEG0428,50,142536.2,27.49,86.79,4.7
SEG0429,35,82909.48,25.26,111.78,4.79
SEG0430,47,88097.61,25.14,140.07,4.19
SEG0431,31,26403.98,1.0,58.43,2.49
SEG0432,31,28057.56,9.1,60.05,2.66
SEG0433,56,90517.89,23.33,142.63,4.96
SEG0434,35,58041.11,13.65,106.48,3.82
SEG0435,36,27578.94,14.18,44.95,1.74
SEG0436,48,77865.9,25.7,148.48,3.77
SEG0437,48,65191.89,32.05,162.58,4.89
SEG0438,37,48034.06,5.12,182.22,3.42
SEG0439,24,33871.19,6.78,38.84,2.33
SEG0440,53,91963.62,34.34,60.42,4.16
SEG0441,57,77904.65,37.35,63.47,4.72
SEG0442,31,24730.26,6.62,38.76,2.85
SEG0443,54,104057.29,31.09,94.54,3.81
SEG0444,42,66279.18,11.18,259.0,3.31
SEG0445,38,27789.19,3.56,52.93,2.24
SEG0446,50,113487.99,24.69,82.5,4.5
SEG0447,68,106066.66,36.3,57.11,3.94
SEG0448,32,57725.73,8.29,275.7,3.75
SEG0449,22,34676.35,10.69,57.58,2.08
SEG0450,24,34286.18,15.66,43.03,2.77
SEG0451,43,77404.11,30.61,133.14,4.0
SEG0452,25,30231.18,7.23,42.64,2.53
SEG0453,36,42778.42,6.32,202.01,3.16
SEG0454,40,90646.28,31.46,121.05,3.88
SEG0455,34,52789.0,10.77,200.82,3.26
SEG0456,49,39892.1,11.6,292.1,3.39
SEG0457,31,22341.5,10.1,56.48,2.55
SEG0458,34,68232.55,11.28,254.28,3.14
SEG0459,43,104580.67,32.02,87.58,4.76
SEG0460,43,78430.57,21.56,77.23,3.8
SEG0461,27,51571.32,1.47,196.97,4.37
SEG0462,28,32276.91,10.06,47.1,2.26
SEG0463,33,46927.08,2.03,276.77,3.1
SEG0464,68,84509.45,26.57,106.94,4.03
SEG0465,20,38461.85,7.45,155.25,3.25
SEG0466,18,38263.82,11.68,32.47,1.46
SEG0467,38,87128.51,30.31,123.26,3.97
SEG0468,55,103368.75,35.53,72.64,4.53
SEG0469,39,65987.3,6.85,224.11,3.16
SEG0470,43,64991.36,31.69,155.34,4.98
SEG0471,31,71378.62,8.98,213.52,4.07
SEG0472,22,32192.96,9.37,49.13,2.3
SEG0473,55,91284.07,30.84,76.3,5.0
SEG0474,30,88760.35,24.11,124.88,3.71
SEG0475,28,29745.67,9.1,50.77,2.79
SEG0476,37,28588.46,12.73,51.27,2.54
SEG0477,38,28323.52,10.6,48.02,1.96
SEG0478,42,51002.22,9.75,296.46,3.6
SEG0479,34,52621.6,3.98,201.58,3.43
SEG0480,35,64904.08,11.72,191.56,3.49
SEG0481,51,53795.31,25.09,92.64,5.0
SEG0482,39,47355.11,7.86,180.23,4.4
SEG0483,44,103776.2,31.72,58.03,4.59
SEG0484,24,66693.53,8.1,264.29,3.28
SEG0485,42,52325.45,12.29,247.46,3.48
SEG0486,34,56107.86,5.48,43.8,1.92
SEG0487,60,101982.69,39.77,70.77,5.0
SEG0488,18,32874.24,6.52,50.86,3.02
SEG0489,54,107535.7,30.57,75.78,4.89
SEG0490,37,63972.96,29.47,110.63,4.78
SEG0491,18,37387.59,10.03,44.07,2.57
SEG0492,19,38463.14,8.28,36.74,3.47
SEG0493,56,82765.41,35.25,79.35,5.0
SEG0494,35,60940.06,16.21,183.32,3.29
SEG0495,33,83335.0,26.5,166.11,4.19
SEG0496,57,101452.74,31.06,81.07,4.8
SEG0497,46,74800.69,28.2,147.65,4.05
SEG0498,58,94896.88,27.09,66.98,5.0
SEG0499,63,103972.05,27.95,91.15,5.0
SEG0500,38,51974.03,4.54,219.32,3.28
SEG0501,27,39425.78,13.53,41.6,2.54
SEG0502,58,90356.22,26.63,88.66,5.0
SEG0503,30,45886.82,11.63,187.77,2.88
SEG0504,40,97038.23,23.91,111.46,3.99
SEG0505,27,39667.7,6.95,152.11,3.32
SEG0506,30,34170.32,9.44,33.14,2.31
SEG0507,30,35575.11,8.91,38.03,2.54
SEG0508,32,42467.44,9.23,220.89,3.0
SEG0509,30,50224.47,1.9,184.82,3.78
SEG0510,40,66789.66,30.33,140.0,4.51
SEG0511,29,49337.94,7.96,230.98,4.53
SEG0512,59,117118.54,41.15,103.32,4.77
SEG0513,35,32734.68,9.84,53.33,2.9
SEG0514,46,75647.85,24.07,95.49,4.27
SEG0515,44,89659.11,20.16,132.98,4.11
SEG0516,58,119966.08,37.13,91.76,4.74
SEG0517,27,38935.04,16.84,60.83,2.72
SEG0518,43,87711.3,29.02,118.56,4.11
SEG0519,75,90936.61,35.41,66.51,4.64
SEG0520,28,43393.86,10.47,244.12,4.33
SEG0521,28,32895.77,9.83,35.37,2.77
SEG0522,57,72676.21,36.43,65.52,4.85
SEG0523,30,33210.72,5.98,58.82,2.17
SEG0524,28,89913.42,29.26,95.83,4.2
SEG0525,34,40132.75,12.45,53.19,2.82
SEG0526,33,41807.16,6.96,274.41,4.0
SEG0527,44,73318.64,32.94,133.55,4.49
SEG0528,51,97011.42,36.34,52.4,4.68
SEG0529,36,65370.73,11.9,301.95,3.87
SEG0530,48,64587.14,22.06,178.07,4.0
SEG0531,55,57294.27,36.24,56.54,4.33
SEG0532,41,31325.87,13.43,179.86,3.43
SEG0533,38,59327.88,22.96,106.34,3.65
SEG0534,52,64387.76,18.45,70.96,4.4
SEG0535,33,75498.33,33.88,135.2,4.35
SEG0536,31,51874.71,7.14,234.94,4.25
SEG0537,55,84101.36,31.7,90.84,4.55
SEG0538,30,34945.41,18.61,54.13,2.11
SEG0539,30,80111.32,23.18,116.11,3.75
SEG0540,31,47083.89,7.54,187.44,3.18
SEG0541,61,97955.0,32.02,74.19,4.3
SEG0542,37,43706.14,14.95,27.53,2.2
SEG0543,32,27679.37,7.2,31.42,2.34
SEG0544,53,55822.89,36.61,81.88,4.1
SEG0545,63,100238.36,36.64,87.12,4.35
SEG0546,38,58657.03,12.22,268.28,4.44
SEG0547,40,44656.89,8.71,169.23,4.04
SEG0548,23,44851.42,8.83,44.57,2.29
SEG0549,54,88644.7,32.93,75.29,4.51
SEG0550,36,46919.05,7.98,305.47,3.24
SEG0551,32,41190.79,6.65,238.13,3.26
SEG0552,51,104376.71,33.87,85.13,4.14
SEG0553,66,89393.87,27.97,91.9,5.0
SEG0554,26,27203.53,11.77,31.81,3.65
SEG0555,22,34051.48,9.36,35.89,2.08
SEG0556,35,34115.41,7.22,39.46,2.13
SEG0557,63,114269.68,34.11,79.19,4.98
