customer_id,tenure_months,monthly_charges,support_tickets_90d,weekly_usage_hours,contract_type,internet_service,autopay,senior_citizen,churn
C00042,15,76.87,2,21.0,Month-to-month,Fiber,0,0,1
C00043,31,69.81,2,27.8,Month-to-month,Fiber,1,0,0
C00044,6,104.96,1,19.2,One year,DSL,1,0,1
C00045,47,57.07,3,17.0,One year,Fiber,0,1,1
C00046,29,61.4,1,37.6,Month-to-month,DSL,0,1,0
C00047,13,109.54,3,48.9,Month-to-month,DSL,1,0,0
C00048,64,43.91,1,9.7,Month-to-month,DSL,1,0,0
C00049,34,58.06,5,36.7,Month-to-month,DSL,1,0,0
C00050,4,75.72,3,41.6,Month-to-month,None,0,1,1
C00051,7,114.67,3,40.3,One year,Fiber,1,1,1
C00052,21,38.58,0,30.9,Two year,DSL,0,1,0
C00053,68,52.1,0,25.6,Month-to-month,Fiber,0,0,0
C00054,8,88.59,2,44.6,Month-to-month,Fiber,1,0,1
C00055,29,92.91,1,38.7,Month-to-month,DSL,1,1,1
C00056,29,77.92,3,7.5,One year,DSL,0,1,1
C00057,45,68.73,0,30.9,One year,DSL,0,1,0
C00058,44,75.63,3,34.8,One year,DSL,0,0,0
C00059,36,29.8,3,18.7,Month-to-month,Fiber,0,1,1
C00060,59,74.84,3,30.6,Month-to-month,None,1,0,0
C00061,2,113.5,0,40.9,Two year,Fiber,0,0,0
C00062,29,35.04,0,22.4,Month-to-month,Fiber,0,0,0
C00063,5,50.05,4,37.3,Month-to-month,Fiber,1,0,1
C00064,22,60.89,0,20.1,One year,None,0,0,0
C00065,20,62.65,3,16.7,One year,Fiber,1,1,0
C00066,64,123.56,1,42.6,Month-to-month,Fiber,1,0,0
C00067,49,45.91,2,50.4,One year,Fiber,0,0,0
C00068,18,40.31,2,17.4,Month-to-month,Fiber,0,1,0
C00069,47,93.59,1,47.3,Two year,Fiber,0,0,0
C00070,60,53.89,1,33.8,One year,Fiber,0,0,0
C00071,14,94.05,0,3.0,One year,Fiber,1,1,0
C00072,41,66.48,2,13.9,Month-to-month,Fiber,0,0,1
C00073,36,84.85,1,42.5,Month-to-month,Fiber,1,0,0
C00074,66,28.1,2,11.3,One year,Fiber,0,0,0
C00075,27,84.76,1,25.3,Month-to-month,Fiber,1,0,1
C00076,49,78.1,0,32.9,Month-to-month,DSL,1,0,0
C00077,41,64.85,1,40.3,Two year,Fiber,1,0,0
C00078,24,37.48,1,36.6,Two year,Fiber,1,1,0
C00079,25,78.07,2,56.0,Two year,Fiber,1,1,0
C00080,63,92.27,1,22.6,Month-to-month,None,1,0,0
C00081,65,57.13,2,35.4,Month-to-month,None,0,1,0
C00082,19,57.68,1,40.3,Month-to-month,Fiber,0,1,1
C00083,35,94.23,2,44.0,One year,Fiber,0,1,1
C00084,11,119.89,0,48.7,Two year,Fiber,0,1,1
C00085,31,98.31,2,,Month-to-month,Fiber,1,1,0
C00086,63,78.42,4,43.1,Month-to-month,Fiber,0,1,1
C00087,51,65.19,3,21.0,Two year,Fiber,0,0,0
C00088,35,71.23,0,32.9,Month-to-month,Fiber,1,0,0
C00089,57,34.89,0,41.0,Month-to-month,Fiber,0,0,0
C00090,40,67.68,2,47.7,Two year,Fiber,0,0,0
C00091,32,103.36,1,42.0,Month-to-month,Fiber,1,0,0
C00092,2,73.11,1,35.3,One year,Fiber,0,0,1
C00093,8,54.49,1,32.9,Two year,DSL,0,1,0
C00094,39,51.9,0,41.7,Two year,Fiber,1,1,0
C00095,7,71.11,0,64.6,Month-to-month,Fiber,1,0,1
C00096,1,37.43,2,46.0,One year,None,1,1,1
C00097,24,46.56,1,39.3,One year,Fiber,0,1,0
C00098,41,114.92,0,14.8,Two year,Fiber,0,0,0
C00099,53,42.99,2,22.2,Month-to-month,DSL,1,0,0
C00100,70,49.56,1,29.5,One year,Fiber,1,1,0
C00101,48,80.16,0,46.7,Two year,Fiber,0,0,0
C00102,71,59.63,2,20.9,Month-to-month,DSL,1,0,0
C00103,21,74.48,1,43.0,One year,DSL,1,0,0
C00104,48,96.16,1,35.7,Month-to-month,DSL,0,0,1
C00105,1,28.68,1,39.0,Month-to-month,Fiber,0,0,1
C00106,10,93.12,2,31.0,Month-to-month,Fiber,1,1,0
C00107,47,55.69,1,25.6,Month-to-month,Fiber,0,0,0
C00108,23,63.99,3,20.4,Month-to-month,Fiber,0,1,1
C00109,41,125.82,4,42.6,One year,DSL,0,1,1
C00110,68,32.73,0,32.9,Month-to-month,DSL,1,0,0
C00111,56,88.54,1,18.9,Month-to-month,Fiber,0,0,1
C00112,26,103.58,0,37.1,Month-to-month,None,1,1,1
C00113,50,52.86,3,81.9,One year,Fiber,1,1,0
C00114,67,53.3,0,31.2,Month-to-month,None,1,0,0
C00115,18,61.68,2,57.2,One year,Fiber,0,1,0
C00116,40,52.7,2,1.0,Two year,DSL,1,1,0
C00117,53,73.86,1,30.2,One year,DSL,1,0,0
C00118,48,96.99,1,47.4,One year,DSL,1,1,0
C00119,36,61.83,2,34.2,One year,DSL,0,0,0
C00120,32,98.0,1,25.0,One year,DSL,0,1,0
C00121,42,111.23,1,33.6,Month-to-month,DSL,1,1,1
C00122,36,84.07,1,47.8,Month-to-month,DSL,1,1,1
C00123,26,86.71,0,64.0,Two year,Fiber,1,1,0
C00124,63,55.37,1,48.9,Two year,Fiber,1,1,0
C00125,57,18.0,1,26.9,One year,DSL,0,1,0
C00126,47,88.4,0,30.7,One year,Fiber,0,1,0
C00127,15,94.3,2,30.8,One year,Fiber,0,0,0
C00128,38,78.79,1,21.9,Month-to-month,Fiber,1,1,0
C00129,15,97.47,1,31.8,Month-to-month,Fiber,0,0,1
C00130,12,56.65,0,30.2,Month-to-month,DSL,1,0,1
C00131,18,86.52,1,17.2,One year,DSL,0,1,1
C00132,12,113.22,3,45.7,One year,Fiber,0,0,0
C00133,57,90.64,2,39.9,Month-to-month,Fiber,0,0,1
C00134,38,109.6,2,25.0,Month-to-month,Fiber,1,1,0
C00135,53,109.78,1,36.1,Two year,None,1,0,0
C00136,71,37.8,2,20.5,One year,DSL,0,0,0
C00137,20,92.14,0,26.3,Two year,Fiber,0,1,1
C00138,15,54.31,4,43.6,Month-to-month,Fiber,1,1,1
C00139,11,40.99,0,40.6,Month-to-month,DSL,1,1,1
C00140,2,64.0,3,26.8,One year,DSL,1,0,1
C00141,3,121.12,4,38.4,Month-to-month,Fiber,1,1,1
C00142,43,56.77,2,33.0,Month-to-month,DSL,0,0,0
C00143,50,22.77,3,20.0,Month-to-month,Fiber,0,1,0
C00144,22,31.55,1,31.7,One year,None,1,0,0
C00145,39,85.39,0,40.0,Month-to-month,DSL,1,1,0
C00146,15,50.75,0,38.3,Month-to-month,Fiber,1,1,0
C00147,51,18.0,1,10.3,Month-to-month,DSL,1,0,0
C00148,52,32.66,2,36.3,Month-to-month,DSL,1,1,0
C00149,51,76.67,5,34.4,One year,Fiber,0,0,0
C00150,37,93.83,2,7.4,Two year,DSL,0,0,0
C00151,61,59.52,0,22.7,Month-to-month,Fiber,1,0,0
C00152,7,90.17,1,40.9,One year,Fiber,0,1,1
C00153,30,97.62,1,53.4,Month-to-month,None,1,1,1
C00154,5,50.06,1,11.0,One year,DSL,1,0,0
C00155,60,68.61,3,47.7,Two year,Fiber,1,1,0
C00156,6,55.19,2,7.7,Month-to-month,Fiber,0,0,1
C00157,32,87.09,1,53.6,Two year,DSL,1,1,0
C00158,14,54.86,1,30.7,Month-to-month,DSL,0,0,1
C00159,51,38.03,2,24.0,Two year,Fiber,0,1,0
C00160,29,73.47,5,39.0,One year,DSL,1,0,0
C00161,40,103.09,0,20.5,Month-to-month,DSL,0,0,0
C00162,70,86.3,1,41.2,One year,DSL,1,0,0
C00163,67,100.19,3,32.3,Month-to-month,Fiber,1,0,0
C00164,31,97.73,1,1.0,Two year,None,0,1,0
C00165,27,73.18,4,22.7,Month-to-month,Fiber,0,1,1
C00166,22,55.27,2,36.7,One year,DSL,0,0,1
C00167,50,47.65,1,48.9,Month-to-month,Fiber,1,1,0
C00168,72,27.57,0,38.6,Month-to-month,None,1,0,0
C00169,44,105.31,2,48.7,Two year,DSL,0,1,0
C00170,41,62.74,1,21.5,One year,DSL,1,0,0
C00171,72,24.27,1,44.2,Month-to-month,Fiber,0,0,0
C00172,14,106.56,0,44.4,Two year,DSL,0,1,0
C00173,6,74.64,2,11.2,Two year,Fiber,1,0,0
C00174,7,99.1,2,49.4,Two year,Fiber,0,0,1
C00175,44,64.68,1,38.6,Month-to-month,None,1,0,0
C00176,65,49.79,0,30.1,Two year,DSL,0,1,1
C00177,17,84.48,1,29.8,Month-to-month,DSL,1,1,1
C00178,53,86.8,0,19.5,One year,Fiber,1,0,0
C00179,64,64.16,1,42.8,Two year,Fiber,1,0,0
C00180,66,108.78,3,38.2,Month-to-month,Fiber,1,1,1
C00181,58,98.47,1,42.2,Month-to-month,Fiber,0,1,0
C00182,27,87.81,0,35.1,Two year,None,0,1,0
C00183,48,40.92,0,36.9,Month-to-month,DSL,1,1,0
C00184,40,36.98,0,29.9,Month-to-month,Fiber,0,0,0
C00185,35,105.57,2,49.1,Month-to-month,Fiber,0,1,1
C00186,51,18.0,1,42.5,One year,Fiber,1,0,0
C00187,50,69.45,3,36.4,Month-to-month,Fiber,1,0,1
C00188,59,76.11,3,32.1,Month-to-month,DSL,1,0,0
C00189,40,58.29,1,9.2,Two year,Fiber,1,0,0
C00190,48,71.01,1,6.2,One year,Fiber,1,0,1
C00191,21,83.77,3,28.8,One year,Fiber,1,0,1
C00192,35,55.56,4,51.8,Month-to-month,DSL,0,1,0
C00193,59,96.68,2,24.1,Two year,Fiber,0,0,0
C00194,56,88.31,0,24.7,Month-to-month,Fiber,0,1,0
C00195,37,66.96,3,20.4,Two year,None,1,0,0
C00196,41,48.86,1,15.9,Month-to-month,DSL,1,0,1
C00197,19,69.46,2,21.2,Two year,Fiber,0,0,1
C00198,28,131.1,2,37.9,Two year,DSL,1,1,0
C00199,48,50.79,1,27.1,Month-to-month,Fiber,1,1,0
C00200,9,114.86,1,26.5,Month-to-month,DSL,0,0,1
C00201,2,22.85,0,25.2,Month-to-month,Fiber,1,1,1
C00202,44,47.9,0,37.3,Month-to-month,Fiber,0,1,0
C00203,52,56.81,2,39.5,Month-to-month,Fiber,1,1,1
C00204,71,98.57,0,7.8,Month-to-month,Fiber,1,1,0
C00205,34,73.55,3,23.4,Month-to-month,Fiber,1,0,1
C00206,9,108.68,2,32.7,Month-to-month,Fiber,1,0,1
C00207,46,62.69,0,40.1,Month-to-month,Fiber,1,1,0
C00208,23,70.49,2,35.8,One year,Fiber,0,1,1
C00209,12,62.8,0,45.5,Month-to-month,Fiber,0,0,0
C00210,45,128.74,2,14.2,Month-to-month,Fiber,1,1,1
C00211,52,40.63,1,39.8,Month-to-month,DSL,1,1,0
C00212,4,57.77,1,62.7,Month-to-month,DSL,0,0,1
C00213,53,44.62,2,34.7,Month-to-month,None,1,1,0
C00214,42,88.05,2,35.2,Month-to-month,Fiber,1,0,1
C00215,54,40.05,2,41.3,Month-to-month,Fiber,1,0,1
C00216,46,123.02,4,26.4,Month-to-month,Fiber,0,1,1
C00217,34,74.26,1,20.7,Month-to-month,DSL,1,0,0
C00218,25,83.55,2,34.8,One year,Fiber,0,1,0
C00219,47,84.97,3,10.8,Two year,DSL,0,0,0
C00220,15,71.44,1,39.5,One year,None,1,1,0
C00221,40,75.41,0,41.9,Month-to-month,Fiber,0,0,0
C00222,55,74.37,0,11.5,Month-to-month,Fiber,0,1,0
C00223,17,86.54,2,36.3,One year,Fiber,1,0,1
C00224,7,48.97,0,31.0,One year,DSL,1,1,0
C00225,2,44.22,2,54.7,Month-to-month,DSL,0,0,0
C00226,40,94.99,4,52.3,One year,Fiber,1,0,0
C00227,30,71.95,0,45.8,Month-to-month,Fiber,1,1,0
C00228,48,18.0,0,50.9,Month-to-month,DSL,1,0,0
C00229,59,58.69,2,28.9,One year,Fiber,1,0,0
C00230,71,114.84,0,37.6,Two year,DSL,0,0,0
C00231,24,67.51,1,30.5,Two year,Fiber,1,0,0
C00232,9,57.13,1,20.0,Two year,Fiber,0,0,0
C00233,54,30.15,1,35.2,Month-to-month,Fiber,1,1,0
C00234,2,56.1,2,32.8,Month-to-month,DSL,1,1,1
C00235,47,39.41,0,31.2,Month-to-month,Fiber,1,1,0
C00236,20,84.02,2,33.2,Month-to-month,Fiber,1,1,1
C00237,26,73.38,0,34.9,One year,Fiber,0,0,0
C00238,9,61.82,2,46.4,Month-to-month,DSL,1,1,1
C00239,1,50.66,0,25.8,Month-to-month,Fiber,0,1,1
C00240,14,114.74,1,16.1,Two year,DSL,0,1,0
C00241,32,52.25,1,43.5,Month-to-month,None,1,0,0
C00242,22,52.36,1,46.0,Month-to-month,Fiber,0,1,1
C00243,29,65.2,1,39.0,Two year,None,1,1,0
C00244,9,69.11,3,18.1,Month-to-month,Fiber,0,1,1
C00245,10,85.5,1,32.2,Two year,DSL,1,1,0
C00246,54,98.05,2,38.0,Month-to-month,Fiber,0,0,1
C00247,59,95.96,0,19.0,Month-to-month,DSL,0,0,0
C00248,54,140.04,2,23.3,Month-to-month,DSL,0,0,1
C00249,69,24.6,0,31.9,Month-to-month,Fiber,0,0,0
C00250,53,78.46,2,50.6,Month-to-month,Fiber,0,1,0
C00251,9,57.43,3,37.2,One year,Fiber,0,1,1
C00252,54,128.27,2,26.0,Month-to-month,Fiber,0,0,0
C00253,17,76.92,0,31.2,Month-to-month,DSL,0,1,0
C00254,56,18.0,3,24.7,Month-to-month,DSL,0,0,0
C00255,46,84.16,3,28.2,One year,Fiber,1,1,0
C00256,61,79.47,1,44.1,Month-to-month,Fiber,1,1,1
C00257,69,93.22,2,7.1,Month-to-month,None,1,0,1
C00258,50,51.74,3,52.4,Two year,Fiber,1,1,1
C00259,68,81.18,3,64.6,Two year,DSL,0,0,0
C00260,39,64.43,1,36.3,Month-to-month,Fiber,0,1,1
C00261,68,53.2,0,22.4,Month-to-month,DSL,0,1,0
C00262,7,81.6,1,50.3,One year,DSL,0,0,0
C00263,32,76.28,1,37.9,Month-to-month,Fiber,0,0,1
C00264,55,101.4,1,26.6,Two year,Fiber,0,0,0
C00265,71,72.76,0,20.4,Month-to-month,Fiber,0,0,0
C00266,63,88.91,0,28.3,Month-to-month,Fiber,0,1,0
C00267,27,38.19,1,36.7,Month-to-month,DSL,1,0,0
C00268,46,111.05,0,46.5,Month-to-month,DSL,1,1,1
C00269,7,50.24,2,38.0,Month-to-month,DSL,1,0,0
C00270,9,97.28,4,40.4,One year,Fiber,0,0,0
C00271,51,79.37,3,29.3,Two year,Fiber,1,0,0
C00272,23,75.82,2,46.0,Month-to-month,Fiber,1,1,0
C00273,41,93.29,1,31.1,One year,Fiber,0,1,1
C00274,15,18.0,3,59.7,Month-to-month,Fiber,1,1,0
C00275,58,55.94,2,24.9,Two year,Fiber,0,0,0
C00276,7,92.89,0,39.5,Month-to-month,None,0,1,1
C00277,45,125.82,3,64.7,Month-to-month,Fiber,1,0,0
C00278,49,71.32,1,48.6,Month-to-month,Fiber,0,1,0
C00279,60,18.0,1,44.4,One year,Fiber,1,1,0
C00280,19,63.12,2,38.2,Month-to-month,DSL,1,0,0
C00281,25,70.32,3,34.7,One year,DSL,0,1,1
C00282,41,103.06,2,31.6,Month-to-month,DSL,1,1,1
C00283,21,73.35,2,26.1,One year,Fiber,0,1,0
C00284,54,36.25,0,12.5,Two year,Fiber,0,1,0
C00285,55,98.98,0,43.0,Month-to-month,DSL,1,1,0
C00286,55,87.91,0,12.5,One year,DSL,1,1,0
C00287,36,52.43,2,43.1,Month-to-month,None,1,0,0
C00288,46,92.16,1,29.7,Month-to-month,DSL,0,0,0
C00289,13,56.69,1,20.6,Month-to-month,Fiber,0,1,0
C00290,15,63.65,1,53.7,Month-to-month,Fiber,1,1,1
C00291,28,57.17,0,13.7,One year,DSL,1,1,0
C00292,15,63.32,2,24.7,Month-to-month,DSL,0,1,1
C00293,58,97.39,1,26.0,Month-to-month,Fiber,1,0,1
C00294,19,22.0,5,36.1,Month-to-month,DSL,0,0,1
C00295,67,102.92,1,25.4,One year,None,0,1,0
C00296,30,76.94,3,54.5,Two year,Fiber,1,1,0
C00297,55,61.08,2,14.8,Two year,Fiber,1,1,1
C00298,6,72.58,0,91.2,One year,Fiber,1,0,0
C00299,52,46.55,1,19.2,Two year,Fiber,0,1,0
C00300,33,26.31,0,75.4,One year,DSL,1,1,0
C00301,59,47.34,5,49.3,Month-to-month,DSL,0,1,1
C00302,14,18.93,3,32.5,Month-to-month,Fiber,0,1,1
C00303,15,34.13,0,37.2,Two year,DSL,1,1,0
C00304,63,26.56,1,28.7,Month-to-month,Fiber,0,1,0
C00305,42,106.27,0,38.9,Month-to-month,DSL,0,0,0
C00306,41,36.04,1,23.7,One year,DSL,1,0,0
C00307,43,70.85,0,43.9,Month-to-month,DSL,1,1,1
C00308,26,103.27,1,,Two year,Fiber,0,0,0
C00309,69,95.8,3,20.1,Two year,DSL,1,0,0
C00310,40,63.74,1,40.0,Month-to-month,DSL,1,1,0
C00311,2,63.86,2,39.1,Two year,DSL,0,1,1
C00312,21,77.04,1,24.0,Month-to-month,DSL,0,1,0
C00313,70,131.14,2,28.0,Two year,None,0,0,0
C00314,36,83.57,1,41.2,Month-to-month,Fiber,0,0,1
C00315,53,90.71,0,49.3,Month-to-month,Fiber,0,0,0
C00316,2,135.46,1,32.0,Month-to-month,Fiber,1,1,1
C00317,2,79.78,2,,One year,Fiber,0,1,0
C00318,15,104.14,1,50.3,One year,DSL,1,1,0
C00319,38,85.38,0,52.2,One year,Fiber,1,0,0
C00320,44,84.97,5,39.8,One year,Fiber,0,0,1
C00321,6,45.03,0,21.4,One year,DSL,0,1,0
C00322,67,40.38,2,46.5,Two year,Fiber,0,1,0
C00323,44,57.66,0,31.3,Month-to-month,Fiber,0,0,0
C00324,26,96.69,1,41.1,Two year,DSL,0,0,0
C00325,33,95.37,0,25.2,Two year,DSL,1,1,0
C00326,37,109.33,2,25.6,Two year,Fiber,0,0,0
C00327,56,71.69,1,,Month-to-month,DSL,1,1,0
C00328,7,87.06,2,15.5,Two year,Fiber,1,0,0
C00329,42,87.18,2,25.8,Month-to-month,Fiber,1,1,0
C00330,38,68.99,3,19.5,Month-to-month,Fiber,1,1,0
C00331,57,63.0,1,41.9,Month-to-month,Fiber,0,0,0
C00332,26,30.42,1,19.1,Two year,DSL,1,0,0
C00333,27,67.73,4,24.6,Two year,DSL,1,1,1
C00334,59,69.09,0,34.0,Month-to-month,Fiber,0,0,0
C00335,62,103.76,2,59.4,One year,Fiber,0,0,1
C00336,60,106.52,0,24.3,Month-to-month,Fiber,1,1,0
C00337,63,76.08,2,14.6,Month-to-month,None,1,1,0
C00338,8,129.77,3,15.6,One year,DSL,1,0,0
C00339,48,77.32,0,22.0,Month-to-month,DSL,1,1,0
C00340,50,100.92,1,24.8,One year,Fiber,1,1,0
C00341,19,69.2,1,66.3,Month-to-month,DSL,1,0,1
C00342,33,40.08,1,47.5,Month-to-month,DSL,0,0,0
C00343,72,60.09,1,29.6,One year,Fiber,1,0,0
C00344,11,113.27,2,59.9,Month-to-month,Fiber,0,1,1
C00345,59,64.6,2,25.4,Two year,Fiber,1,0,0
C00346,23,58.94,2,28.2,One year,Fiber,0,0,0
C00347,62,71.89,3,27.4,Month-to-month,Fiber,1,1,0
C00348,39,61.09,1,48.4,One year,Fiber,1,1,0
C00349,1,105.43,1,33.0,Month-to-month,DSL,0,0,1
C00350,8,124.79,3,55.1,One year,Fiber,1,1,0
C00351,60,72.17,0,40.1,Month-to-month,Fiber,1,0,0
C00352,57,87.13,2,46.7,Month-to-month,DSL,0,1,1
C00353,16,99.21,2,8.6,Month-to-month,Fiber,1,0,1
C00354,47,75.04,2,10.2,Two year,Fiber,1,1,0
C00355,37,47.42,2,10.7,Month-to-month,None,1,1,1
C00356,4,60.54,0,28.0,Two year,Fiber,0,0,0
C00357,51,83.54,0,12.5,One year,Fiber,0,1,0
C00358,12,83.03,0,51.4,Month-to-month,Fiber,1,1,0
C00359,30,21.82,2,31.2,One year,Fiber,1,0,0
C00360,1,59.77,1,42.6,One year,Fiber,0,1,1
C00361,18,51.36,1,27.1,Month-to-month,DSL,1,0,0
C00362,68,96.7,1,45.5,Month-to-month,DSL,1,1,0
C00363,37,52.45,2,6.5,Two year,Fiber,0,0,0
C00364,53,59.09,1,33.3,Two year,Fiber,0,0,0
C00365,22,58.11,0,41.0,One year,Fiber,0,1,0
C00366,4,94.16,2,42.2,One year,DSL,0,0,1
C00367,45,99.13,4,29.6,Month-to-month,DSL,0,1,1
C00368,18,85.82,4,10.0,Month-to-month,Fiber,0,0,1
C00369,8,102.98,1,48.2,One year,DSL,1,1,1
C00370,36,106.59,2,28.5,Month-to-month,Fiber,1,1,1
C00371,30,21.31,1,29.7,One year,DSL,0,1,0
C00372,9,88.57,0,65.1,Month-to-month,Fiber,1,0,0
C00373,43,61.65,3,35.4,Two year,DSL,0,0,1
C00374,33,36.81,0,,Month-to-month,DSL,1,1,0
C00375,72,63.05,1,25.9,One year,DSL,1,0,0
C00376,7,92.46,0,43.0,Month-to-month,DSL,1,1,1
C00377,36,112.75,0,22.5,Two year,Fiber,0,1,0
C00378,58,34.34,1,41.2,One year,Fiber,0,1,0
C00379,31,89.32,2,,Month-to-month,DSL,0,1,1
C00380,16,127.04,3,32.8,Month-to-month,DSL,0,1,1
C00381,72,123.26,1,47.8,One year,None,0,0,0
C00382,24,18.0,4,,Month-to-month,DSL,1,0,1
C00383,67,133.01,1,24.4,One year,Fiber,1,0,0
C00384,61,98.91,1,10.7,One year,Fiber,0,0,0
C00385,49,18.0,2,37.9,One year,DSL,1,0,0
C00386,56,50.56,0,38.1,Month-to-month,Fiber,1,0,0
C00387,40,107.22,1,47.7,Month-to-month,Fiber,1,1,0
C00388,49,82.09,0,46.4,Month-to-month,Fiber,0,1,0
C00389,20,55.93,1,62.9,Month-to-month,Fiber,1,1,0
C00390,5,73.86,1,25.9,One year,DSL,1,1,0
C00391,45,87.29,2,39.0,Month-to-month,Fiber,0,0,0
C00392,58,55.78,1,24.4,Month-to-month,DSL,0,1,1
C00393,61,68.44,1,47.0,Month-to-month,DSL,0,1,0
C00394,55,97.11,0,21.0,Month-to-month,DSL,1,1,0
C00395,71,52.38,2,46.8,Two year,DSL,1,1,1
C00396,43,34.0,1,23.7,Month-to-month,Fiber,0,0,0
C00397,13,54.16,1,44.7,Month-to-month,Fiber,0,0,0
C00398,15,47.11,1,50.9,Month-to-month,DSL,1,1,0
C00399,20,55.06,0,12.2,Month-to-month,Fiber,0,0,0
C00400,71,23.63,4,15.1,One year,Fiber,0,0,0
C00401,64,78.6,0,37.3,Two year,None,0,0,0
C00402,53,96.29,1,35.8,One year,DSL,0,0,0
C00403,62,49.27,1,29.9,Two year,Fiber,1,1,0
C00404,25,53.74,0,27.3,Month-to-month,DSL,1,1,0
C00405,52,66.75,0,22.0,Month-to-month,DSL,0,0,0
C00406,13,46.48,1,38.6,Month-to-month,None,1,1,0
C00407,8,99.55,4,20.5,One year,DSL,1,1,0
C00408,47,47.12,1,39.1,Month-to-month,Fiber,0,0,0
C00409,51,57.27,2,26.0,Month-to-month,DSL,1,1,1
C00410,43,50.63,1,28.1,Month-to-month,DSL,0,1,0
C00411,34,100.21,4,51.0,Two year,Fiber,0,1,1
C00412,44,65.53,1,47.4,Month-to-month,DSL,1,1,0
C00413,27,127.81,4,20.0,Month-to-month,Fiber,0,1,1
C00414,22,81.91,0,21.8,Month-to-month,None,1,0,0
C00415,19,104.44,1,44.9,Month-to-month,None,0,0,1
C00416,27,62.92,1,13.9,One year,Fiber,1,1,0
C00417,23,45.61,2,54.4,One year,Fiber,0,1,1
C00418,12,71.07,0,35.9,Two year,Fiber,1,0,0
C00419,39,52.99,0,25.9,Two year,Fiber,0,1,0
C00420,30,18.0,2,34.1,Month-to-month,Fiber,1,1,0
C00421,12,100.38,2,53.1,Two year,Fiber,1,0,0
C00422,66,72.92,1,4.2,One year,Fiber,1,0,0
C00423,37,52.39,1,48.4,Two year,DSL,1,0,0
C00424,11,82.54,0,50.7,Month-to-month,Fiber,0,1,1
C00425,4,73.31,2,29.5,Month-to-month,Fiber,0,0,1
C00426,7,111.47,2,33.0,One year,Fiber,1,0,1
C00427,30,84.12,2,35.9,Two year,Fiber,1,1,0
C00428,18,67.61,2,44.3,Two year,Fiber,1,1,1
C00429,70,91.42,1,23.8,Month-to-month,DSL,0,0,0
C00430,34,70.99,0,33.8,Month-to-month,Fiber,0,0,0
C00431,54,77.15,3,32.6,Two year,None,1,1,0
C00432,18,106.33,1,43.5,Month-to-month,Fiber,0,1,0
C00433,5,39.28,2,71.5,Month-to-month,Fiber,1,1,0
C00434,25,47.83,0,23.7,Two year,DSL,1,0,0
C00435,50,60.26,1,35.1,Month-to-month,Fiber,1,0,0
C00436,56,64.36,0,23.3,Month-to-month,Fiber,0,1,0
C00437,15,104.38,3,27.2,Month-to-month,Fiber,1,0,1
