area_sqft,bedrooms,bathrooms,age_years,distance_to_city_km,school_rating,neighborhood,garage_spaces,price
1571.0,3,3,41,13.6,6.6,Suburban,0,605822.0
1670.0,3,3,73,2.7,7.5,Urban,1,752518.0
1161.0,3,3,71,3.5,8.8,Urban,0,547284.0
1896.0,3,3,77,4.8,7.2,Rural,2,652173.0
1366.0,2,2,17,9.7,7.3,Suburban,2,510671.0
957.0,2,2,58,5.8,6.7,Urban,0,466858.0
2116.0,3,2,60,1.8,6.2,Suburban,0,670469.0
2728.0,4,3,35,1.2,7.1,Urban,0,979745.0
1829.0,2,2,13,5.3,7.0,Suburban,1,730530.0
1738.0,3,2,23,5.7,8.8,Rural,2,711009.0
1725.0,2,2,41,11.5,5.6,Urban,1,565718.0
1490.0,2,2,69,3.0,9.2,Rural,2,598113.0
2502.0,4,3,73,15.6,6.8,Urban,0,808298.0
1856.0,3,3,73,1.8,7.2,Urban,1,786082.0
500.0,1,1,75,1.9,5.4,Suburban,1,316778.0
2519.0,5,4,7,5.2,7.8,Suburban,2,1089030.0
2372.0,4,4,79,11.3,5.6,Urban,1,751151.0
2161.0,3,2,44,7.6,7.6,Urban,1,814351.0
500.0,1,1,7,2.9,7.4,Urban,2,365305.0
1798.0,3,3,10,20.7,6.5,Urban,2,785865.0
2336.0,4,3,20,7.4,3.9,Urban,2,943730.0
2028.0,3,3,20,7.9,10.0,Urban,0,890603.0
1923.0,4,4,8,10.6,5.4,Rural,0,696116.0
2337.0,4,3,30,8.0,7.4,Suburban,1,882837.0
1884.0,2,2,43,4.6,5.9,Rural,1,593250.0
2522.0,4,4,24,17.0,8.6,Urban,2,970097.0
1897.0,3,3,53,14.7,6.4,Urban,1,691701.0
1849.0,3,3,57,18.8,5.9,Suburban,1,520585.0
2335.0,3,2,31,,7.9,Suburban,0,780919.0
1561.0,2,3,6,16.6,5.1,Suburban,1,701742.0
1142.0,1,1,24,2.8,6.4,Urban,1,525210.0
1802.0,3,3,49,6.6,8.0,Suburban,2,726685.0
2154.0,4,3,31,10.4,9.3,Suburban,0,814172.0
2355.0,3,3,46,2.3,5.6,Urban,1,840431.0
2359.0,3,2,67,18.0,6.1,Suburban,1,697914.0
1759.0,3,2,62,4.6,7.5,Urban,0,653038.0
1697.0,2,2,49,15.1,4.0,Urban,2,485632.0
1445.0,2,2,7,2.5,9.0,Rural,1,662816.0
1950.0,2,2,59,6.5,5.5,Suburban,0,694955.0
815.0,1,2,26,4.0,6.3,Urban,2,433900.0
1814.0,3,2,33,4.0,7.4,Urban,0,709946.0
3510.0,6,5,55,2.7,7.1,Urban,1,1311690.0
898.0,1,1,66,2.6,5.6,Rural,2,294293.0
1894.0,3,3,56,3.0,9.6,Suburban,1,772009.0
2027.0,3,2,24,2.9,3.1,Suburban,0,885901.0
2104.0,2,2,35,13.1,5.3,Rural,0,644106.0
1220.0,2,2,28,14.3,6.0,Urban,0,512110.0
2109.0,4,4,36,2.2,5.6,Rural,0,798538.0
1479.0,1,2,60,5.5,8.8,Suburban,2,617541.0
943.0,3,2,77,12.9,4.5,Suburban,2,335507.0
2371.0,3,2,31,9.6,,Rural,1,720204.0
2199.0,2,2,26,5.2,6.6,Suburban,2,813922.0
1220.0,2,2,70,4.1,5.0,Urban,1,527855.0
1474.0,3,3,12,2.2,3.8,Urban,1,663170.0
1452.0,2,2,31,17.4,6.7,Urban,2,662313.0
814.0,1,1,76,7.9,5.9,Urban,1,408117.0
2257.0,5,4,70,7.0,7.4,Urban,1,902253.0
2280.0,4,3,64,3.3,6.3,Suburban,0,769550.0
1600.0,4,3,71,6.2,8.4,Urban,1,594317.0
1783.0,4,3,18,13.1,6.8,Rural,1,659933.0
1869.0,3,3,4,2.0,6.4,Urban,0,721714.0
1947.0,3,3,68,3.3,8.5,Urban,1,664018.0
991.0,1,1,39,2.4,7.3,Urban,2,534210.0
2093.0,3,2,20,15.2,8.2,Rural,1,757609.0
1095.0,2,2,38,1.9,8.7,Urban,1,493538.0
2209.0,3,2,66,7.7,6.6,Urban,0,730082.0
1161.0,1,1,39,2.4,7.1,Urban,2,539633.0
1020.0,2,2,50,7.2,8.3,Urban,0,483999.0
1783.0,3,3,41,2.3,3.3,Rural,2,567023.0
1770.0,2,1,38,4.3,6.8,Suburban,2,710494.0
1862.0,3,3,76,16.7,6.7,Urban,0,569461.0
1264.0,3,3,74,8.7,7.6,Urban,1,473742.0
1922.0,4,3,33,6.9,,Urban,1,714673.0
1978.0,3,3,64,8.3,8.6,Suburban,2,761475.0
2499.0,4,3,57,17.6,5.9,Suburban,0,758488.0
1911.0,3,3,10,7.2,6.3,Suburban,2,739337.0
1440.0,2,2,67,12.5,6.0,Urban,0,533884.0
992.0,1,1,56,12.8,8.8,Urban,2,469080.0
882.0,1,1,68,11.7,3.9,Suburban,2,194280.0
1994.0,3,3,63,25.1,9.7,Suburban,0,671410.0
2276.0,4,3,74,9.8,9.2,Suburban,0,833820.0
1266.0,2,2,43,12.0,6.2,Suburban,0,464279.0
1953.0,3,2,4,4.4,8.5,Suburban,2,804102.0
1695.0,3,2,22,6.5,7.2,Rural,1,719412.0
2231.0,3,2,11,6.3,9.5,Urban,1,866026.0
2320.0,3,3,18,3.3,8.4,Rural,1,839820.0
500.0,1,1,45,3.6,10.0,Suburban,1,374125.0
2419.0,3,3,77,6.3,,Suburban,0,739979.0
1951.0,2,2,61,7.5,7.3,Suburban,1,647694.0
1481.0,3,2,34,17.2,4.4,Urban,1,561677.0
1498.0,2,2,39,3.3,6.2,Suburban,1,660135.0
1819.0,2,2,41,3.1,10.0,Suburban,0,740573.0
1498.0,2,2,32,2.1,7.7,Rural,2,597281.0
1238.0,1,1,47,10.7,8.5,Suburban,0,416492.0
1375.0,3,3,75,19.7,7.8,Rural,2,436832.0
1176.0,2,1,8,6.0,7.7,Urban,2,643849.0
2608.0,5,4,28,7.7,6.2,Rural,2,852331.0
1834.0,2,2,6,6.1,5.9,Suburban,1,808401.0
3152.0,5,3,68,10.1,,Suburban,0,963701.0
2023.0,3,2,15,2.8,2.9,Suburban,0,638745.0
2153.0,3,2,52,8.7,6.9,Rural,1,689864.0
1163.0,3,4,5,6.1,7.4,Urban,0,623233.0
1669.0,2,2,38,11.0,6.1,Urban,2,630908.0
1844.0,3,3,71,10.7,6.8,Rural,2,544842.0
1418.0,2,2,76,8.1,7.8,Urban,2,563182.0
1521.0,2,2,11,5.4,8.3,Suburban,2,581043.0
2052.0,2,1,52,3.4,5.2,Suburban,1,631027.0
2064.0,3,2,18,10.6,5.8,Suburban,0,677122.0
998.0,2,2,58,6.7,8.1,Rural,0,372431.0
1970.0,4,3,42,6.6,7.9,Urban,1,773818.0
2132.0,3,3,63,4.8,9.0,Suburban,0,767081.0
1446.0,2,2,71,15.5,9.0,Suburban,1,554074.0
1385.0,2,2,28,16.0,10.0,Suburban,2,611647.0
2065.0,3,2,3,5.1,6.6,Urban,0,872907.0
500.0,1,1,25,3.8,9.4,Urban,1,396141.0
1801.0,1,1,17,5.4,5.6,Suburban,1,644946.0
2781.0,4,3,9,4.0,10.0,Urban,0,1092633.0
500.0,1,1,57,8.6,7.7,Suburban,0,316543.0
2294.0,3,2,72,6.5,7.8,Urban,2,778512.0
2127.0,4,4,41,10.2,8.5,Rural,0,798110.0
937.0,2,3,42,5.2,5.0,Rural,0,350424.0
2112.0,3,3,47,26.3,5.4,Suburban,1,619266.0
2401.0,3,2,71,2.2,7.2,Rural,0,713601.0
1094.0,2,2,1,6.4,7.5,Rural,0,515527.0
1376.0,2,2,42,23.1,10.0,Suburban,0,455765.0
1816.0,3,3,69,10.3,5.6,Suburban,1,577348.0
2387.0,4,3,12,5.8,9.3,Suburban,0,891088.0
1475.0,3,2,46,8.3,6.6,Suburban,0,559300.0
1775.0,3,3,0,2.6,6.6,Suburban,1,723941.0
1401.0,2,2,66,6.7,6.8,Suburban,1,530513.0
1815.0,3,2,52,2.5,6.5,Suburban,2,671967.0
2428.0,3,3,77,1.5,7.7,,2,913354.0
1864.0,2,2,23,14.9,6.4,Suburban,1,650608.0
1586.0,2,2,58,4.1,4.9,Rural,1,590692.0
1780.0,2,2,61,2.4,6.6,Urban,1,678491.0
1320.0,2,2,2,5.2,7.7,Urban,1,601863.0
1203.0,2,2,60,9.9,4.9,Rural,0,365499.0
2522.0,4,4,56,2.5,7.9,Urban,1,962814.0
2783.0,4,3,49,4.6,8.8,Suburban,2,948078.0
725.0,2,3,45,10.7,9.2,Suburban,2,521666.0
2149.0,4,4,64,6.9,7.5,Suburban,0,765126.0
2315.0,4,3,8,15.1,4.3,Urban,2,832463.0
1073.0,2,2,31,10.8,,Urban,0,524452.0
1517.0,3,2,21,,8.5,Suburban,0,587914.0
1454.0,2,3,67,10.6,6.0,Urban,0,591143.0
2941.0,4,3,13,2.1,6.9,Suburban,0,1062920.0
2791.0,4,4,4,6.3,7.7,Rural,0,986895.0
1247.0,2,2,73,21.1,9.7,Suburban,1,476237.0
924.0,2,2,31,4.9,6.6,Urban,2,499906.0
2264.0,4,3,63,6.4,8.3,Suburban,2,762992.0
2126.0,3,2,18,4.2,7.5,Urban,2,844165.0
2546.0,3,3,56,4.2,7.3,Suburban,0,827362.0
1165.0,1,2,74,11.6,9.0,Suburban,2,369984.0
2234.0,4,3,61,20.5,5.8,Rural,1,610691.0
1361.0,2,3,23,16.4,7.3,Suburban,0,490711.0
2174.0,2,2,48,1.4,7.0,Urban,1,749142.0
1778.0,3,2,66,6.1,4.7,Urban,2,713503.0
2940.0,4,3,68,4.9,8.8,Suburban,1,1002924.0
2068.0,2,3,23,2.7,8.2,Rural,2,822926.0
1612.0,3,3,18,11.9,7.1,Urban,2,743979.0
1883.0,3,3,34,5.2,6.6,Suburban,1,777100.0
1740.0,4,3,20,3.0,7.0,Urban,1,791384.0
1107.0,2,2,57,8.3,8.1,,2,515766.0
2955.0,5,4,47,2.5,7.1,Suburban,1,987451.0
2759.0,4,3,38,13.6,6.0,Suburban,1,894204.0
1694.0,2,2,64,14.3,6.2,Urban,2,557186.0
2220.0,3,3,17,10.5,7.0,Rural,0,808139.0
3031.0,5,5,66,9.0,5.6,Suburban,2,1040866.0
2542.0,4,3,45,6.1,7.5,Urban,2,1005023.0
1616.0,2,1,78,8.0,5.8,Suburban,1,441157.0
1747.0,2,3,47,6.0,5.6,Urban,0,635260.0
769.0,1,2,60,2.0,10.0,Suburban,1,353090.0
2265.0,4,3,15,10.1,,Suburban,2,926012.0
2546.0,3,3,18,15.6,7.2,,2,866444.0
2550.0,4,3,44,4.2,8.3,Urban,0,975714.0
2221.0,4,3,18,11.3,8.5,Rural,2,824535.0
2011.0,3,2,3,6.5,6.9,Rural,0,619370.0
1201.0,2,1,35,4.5,7.4,Suburban,1,438204.0
1992.0,4,3,21,1.1,6.6,Suburban,1,814587.0
1421.0,2,2,52,10.3,8.9,Urban,1,620974.0
2115.0,2,2,46,9.0,8.9,Urban,1,678978.0
1342.0,1,1,41,3.0,9.3,Rural,0,489932.0
2111.0,2,2,66,5.4,7.4,Suburban,1,655573.0
2594.0,5,4,5,6.5,10.0,Urban,2,1054563.0
2026.0,4,3,62,8.2,6.9,Suburban,2,715733.0
1997.0,4,3,38,12.8,10.0,Urban,1,829837.0
2348.0,4,4,55,5.8,6.3,Urban,1,850847.0
2862.0,4,3,65,1.7,5.1,Rural,0,770865.0
1736.0,2,2,24,,10.0,Urban,1,755512.0
2113.0,3,3,19,4.9,8.0,Urban,1,852120.0
2707.0,4,4,60,3.7,7.8,Suburban,1,910167.0
2202.0,4,4,50,11.5,6.5,Urban,2,834419.0
599.0,2,2,14,3.4,5.7,Urban,0,414975.0
1371.0,2,1,21,2.3,5.9,Suburban,0,544767.0
2251.0,2,2,68,4.6,7.2,Urban,2,777794.0
1560.0,2,2,44,6.4,6.8,Urban,1,637947.0
2664.0,5,4,72,7.0,4.1,Suburban,0,850363.0
2915.0,5,4,56,13.8,9.5,Rural,2,1013969.0
1446.0,2,2,16,4.0,6.4,Rural,0,620040.0
1180.0,2,2,16,10.4,8.9,Urban,2,613104.0
1583.0,2,3,77,4.6,5.9,Suburban,1,539988.0
1549.0,2,3,59,1.3,7.2,Suburban,1,557968.0
2722.0,5,5,47,13.0,8.5,Urban,0,1038407.0
1179.0,3,3,54,2.0,8.3,Urban,0,555917.0
2245.0,3,2,33,7.7,6.6,Suburban,2,900020.0
2633.0,3,3,25,2.2,7.8,Urban,1,1115214.0
2292.0,4,3,65,8.7,8.0,Rural,1,746716.0
2062.0,3,3,71,2.7,6.8,Urban,0,677674.0
1703.0,3,3,72,1.7,5.3,Urban,1,695309.0
2909.0,5,4,62,5.5,6.1,Rural,1,1029280.0
1653.0,2,2,69,0.9,6.4,Rural,0,474384.0
2369.0,4,3,41,5.9,7.0,Urban,1,979187.0
1705.0,2,2,24,10.4,9.4,Suburban,1,593167.0
695.0,1,1,6,20.9,8.4,Suburban,2,308058.0
1638.0,2,1,24,7.3,5.8,Urban,2,664306.0
1706.0,3,3,35,6.2,9.8,Suburban,1,775490.0
1714.0,1,1,6,13.3,6.9,Suburban,0,589075.0
1404.0,3,3,26,2.5,8.0,Urban,2,739618.0
2175.0,3,2,74,3.4,5.6,Rural,2,725542.0
2242.0,3,2,20,10.2,6.3,Rural,2,806837.0
1617.0,3,3,31,4.5,8.6,Suburban,1,675751.0
1611.0,2,2,51,5.2,5.7,Urban,1,582060.0
1170.0,1,2,70,6.7,7.1,Rural,1,447653.0
1953.0,3,2,73,2.7,7.7,Suburban,0,692389.0
2627.0,4,3,64,1.7,5.5,Urban,2,958448.0
2627.0,3,2,11,3.3,4.3,Suburban,2,873004.0
1441.0,2,2,8,4.9,8.4,Suburban,2,693961.0
2995.0,5,4,59,8.7,10.0,Urban,2,1058058.0
1583.0,3,3,70,6.3,7.7,Urban,0,649443.0
1190.0,1,2,49,10.0,8.0,Rural,1,440010.0
983.0,1,2,73,6.3,5.7,Rural,2,354304.0
1154.0,2,2,53,11.0,9.2,Urban,0,556029.0
2000.0,3,3,28,5.2,6.4,Urban,1,756356.0
1646.0,2,2,67,1.0,8.7,Urban,1,702553.0
1421.0,2,1,60,3.9,7.9,Suburban,0,520933.0
1292.0,2,1,30,6.8,7.9,,0,526094.0
1148.0,1,2,47,9.4,7.9,Suburban,0,398176.0
1266.0,2,3,46,4.2,7.8,Urban,2,713114.0
2409.0,4,3,7,7.3,7.4,Suburban,0,893251.0
2882.0,4,3,22,4.7,8.5,Suburban,0,997309.0
2919.0,5,3,18,3.5,5.9,Suburban,2,994908.0
2212.0,3,2,22,9.4,6.6,Urban,1,867809.0
1505.0,1,1,42,8.2,9.2,Suburban,0,594193.0
1399.0,2,2,41,25.2,7.3,Urban,0,536082.0
2254.0,3,2,68,4.3,6.5,Urban,1,778805.0
1652.0,1,2,0,14.1,8.6,Suburban,1,685284.0
2047.0,4,3,65,2.0,8.3,Suburban,2,759085.0
2958.0,5,4,19,14.1,5.1,Suburban,2,1026384.0
1930.0,3,3,28,6.4,8.1,Urban,0,786675.0
3167.0,5,4,12,,7.2,Suburban,0,1130999.0
1124.0,2,2,1,8.2,8.1,Urban,1,522421.0
2068.0,3,2,9,8.6,7.0,Suburban,0,840873.0
1988.0,4,3,17,13.0,7.7,Urban,1,889618.0
1210.0,2,2,30,3.1,4.3,,0,436955.0
2281.0,3,2,24,2.0,5.7,Rural,1,792412.0
2718.0,4,3,8,8.3,8.1,Urban,0,946826.0
3122.0,6,5,27,7.9,10.0,Rural,2,1151622.0
2047.0,3,2,12,12.9,7.6,Suburban,1,653640.0
660.0,1,1,54,4.5,6.0,Suburban,2,320157.0
2086.0,3,2,53,3.9,7.2,Suburban,0,698275.0
2245.0,4,3,5,8.1,5.7,Urban,2,955836.0
1659.0,2,2,52,6.6,8.9,Urban,1,748389.0
1929.0,3,2,72,9.2,7.1,Urban,1,760675.0
1510.0,2,2,75,3.7,8.6,Suburban,2,642106.0
1720.0,3,3,4,14.0,6.8,,1,739798.0
2410.0,3,3,73,7.8,8.7,Suburban,2,849051.0
2633.0,4,4,32,12.7,4.6,Rural,2,874222.0
1038.0,1,1,69,5.7,7.0,Suburban,0,323539.0
1493.0,3,2,16,3.5,7.8,Urban,0,738858.0
847.0,2,2,55,8.4,6.6,Suburban,2,442215.0
2903.0,4,3,64,10.0,7.5,Urban,2,1023207.0
2322.0,4,3,21,1.7,7.5,Suburban,2,813928.0
599.0,1,1,58,19.8,8.6,Urban,2,342150.0
1761.0,3,2,14,3.8,7.9,Urban,1,816056.0
1630.0,3,2,56,7.1,7.6,Rural,2,587647.0
1346.0,2,2,75,9.6,8.3,Urban,2,536982.0
2422.0,4,4,23,6.6,5.0,Urban,2,879454.0
2408.0,4,4,76,6.9,5.9,Urban,1,789134.0
1962.0,4,4,53,7.0,4.9,Urban,2,791946.0
1415.0,2,2,40,1.2,,Suburban,0,575583.0
1420.0,2,1,26,7.3,7.6,Urban,2,613429.0
1826.0,3,2,43,4.4,9.1,Urban,2,843303.0
1526.0,3,3,78,12.5,7.5,Rural,2,473870.0
1797.0,3,3,0,11.1,6.1,Urban,2,764227.0
2135.0,4,3,69,,7.2,Urban,1,893264.0
880.0,1,1,11,2.0,4.2,Urban,0,425771.0
1345.0,1,1,70,20.3,6.4,Rural,0,326676.0
1780.0,3,2,43,0.6,3.5,Suburban,0,612837.0
2739.0,4,3,71,4.0,7.5,Suburban,2,960429.0
2307.0,3,2,14,2.6,6.6,Suburban,0,734695.0
1798.0,2,2,3,13.8,6.8,Suburban,0,647497.0
2041.0,3,3,38,5.9,5.6,Suburban,1,743452.0
1739.0,3,2,62,3.8,6.0,Rural,1,533737.0
2446.0,4,3,63,6.7,8.0,Suburban,2,883031.0
2060.0,3,2,61,19.2,4.8,Suburban,0,628808.0
2567.0,5,4,64,9.0,7.8,Urban,0,949690.0
987.0,1,1,62,8.9,5.8,Suburban,0,420980.0
1316.0,2,2,68,1.7,4.5,Suburban,1,464399.0
1965.0,4,5,13,12.9,8.8,Urban,1,909822.0
2096.0,4,3,18,3.0,9.0,Urban,2,946126.0
3240.0,6,5,0,8.5,6.2,Urban,0,1194954.0
715.0,1,1,34,,6.2,Urban,1,458178.0
1780.0,3,2,21,,6.6,Suburban,1,704266.0
1753.0,2,3,50,6.4,5.8,Urban,1,623569.0
1943.0,3,3,44,29.0,6.0,Suburban,1,640969.0
2840.0,5,3,46,4.7,7.7,Urban,1,1007655.0
2326.0,3,2,52,7.9,10.0,Suburban,0,788061.0
838.0,1,1,79,5.8,6.5,Urban,0,334085.0
2720.0,5,4,8,2.4,8.5,Urban,0,1125172.0
2704.0,4,3,22,8.5,7.5,Suburban,1,1004778.0
1958.0,3,3,33,11.5,4.5,Urban,2,734862.0
829.0,1,1,5,2.7,7.0,Urban,0,466695.0
1709.0,1,1,65,5.3,6.8,Suburban,0,445887.0
2081.0,3,3,31,6.8,9.2,Rural,2,752387.0
2398.0,3,3,13,10.7,9.3,Suburban,1,853451.0
738.0,1,1,41,11.0,7.6,Suburban,0,345347.0
1339.0,2,3,15,1.6,8.8,Suburban,0,640596.0
2459.0,2,2,30,20.2,6.8,Suburban,2,734222.0
2701.0,4,4,51,9.0,8.7,Suburban,1,960276.0
2058.0,3,2,25,6.5,7.2,Suburban,1,756411.0
2489.0,4,4,66,10.7,8.6,Suburban,0,741454.0
2073.0,3,3,20,15.2,8.8,Suburban,2,848195.0
2378.0,4,4,9,5.7,8.1,Urban,0,1014921.0
1887.0,3,3,34,5.3,5.9,Urban,2,764215.0
2088.0,3,3,15,2.5,6.4,Suburban,2,847125.0
1067.0,2,2,55,5.3,8.1,Suburban,2,486545.0
2233.0,4,3,41,9.4,8.3,Suburban,1,753056.0
1049.0,3,2,11,5.3,7.2,Urban,0,670405.0
2233.0,3,3,26,5.2,6.5,Suburban,1,855283.0
1537.0,2,2,69,17.6,7.3,Rural,1,500207.0
2022.0,4,3,65,7.8,6.6,Urban,2,764291.0
1228.0,2,2,51,7.8,6.6,Suburban,2,560325.0
1498.0,3,3,72,9.5,9.9,Urban,1,590620.0
2021.0,3,3,8,12.0,6.3,Suburban,2,769114.0
2253.0,3,3,58,6.9,7.8,Urban,2,879595.0
2456.0,4,3,1,3.4,7.2,Suburban,2,937679.0
1110.0,2,1,47,8.9,5.2,Urban,1,498268.0
899.0,1,1,4,13.0,5.1,Urban,0,431238.0
1215.0,2,2,27,8.9,6.9,,2,591431.0
1161.0,1,1,7,10.6,4.1,Urban,0,437033.0
2740.0,5,4,20,5.2,9.7,Suburban,1,1079813.0
2604.0,5,4,51,3.8,6.5,Urban,0,1048511.0
1202.0,3,3,62,7.4,6.3,Urban,2,576559.0
2826.0,5,4,75,4.5,8.8,Rural,0,951324.0
2568.0,4,3,79,15.4,6.8,Urban,2,883390.0
822.0,1,1,10,9.1,8.0,Suburban,2,395436.0
1182.0,1,2,73,4.8,6.1,Urban,2,489052.0
804.0,3,2,22,2.9,7.1,Rural,1,432736.0
1748.0,3,2,70,12.7,8.5,Suburban,1,514494.0
1810.0,3,2,69,3.2,5.7,Urban,1,703665.0
1809.0,3,3,73,6.6,7.8,Suburban,2,639333.0
584.0,1,1,40,7.9,3.4,Urban,0,317227.0
944.0,1,1,60,,8.9,Urban,2,448154.0
1956.0,2,2,34,6.0,6.2,Urban,2,840107.0
2173.0,3,3,6,14.0,6.9,Suburban,2,805937.0
588.0,1,1,37,2.1,6.9,Suburban,0,419505.0
1031.0,2,2,16,12.6,5.5,Urban,0,474968.0
2413.0,4,3,8,7.5,5.4,Suburban,0,861572.0
1065.0,2,1,10,4.2,7.8,Urban,1,635917.0
1791.0,3,2,17,2.0,7.9,Suburban,2,716528.0
1008.0,1,1,63,6.1,5.7,Urban,2,432001.0
2299.0,4,3,76,4.3,7.8,Suburban,2,845227.0
590.0,1,1,68,6.0,7.8,Suburban,1,318889.0
1617.0,3,2,51,9.6,6.4,Suburban,0,575871.0
2364.0,4,3,70,1.9,5.1,Suburban,2,810045.0
2166.0,4,4,22,7.2,6.9,Suburban,0,873839.0
1522.0,2,1,72,18.2,7.5,Rural,0,416010.0
1381.0,2,2,75,4.8,6.9,Rural,1,510138.0
1660.0,3,2,11,8.8,6.1,Rural,2,649798.0
1026.0,1,1,31,1.2,,Urban,1,548793.0
1740.0,2,1,22,1.8,8.9,Urban,0,768161.0
1750.0,3,3,11,3.9,5.8,Suburban,0,694949.0
1549.0,2,1,13,14.4,6.6,Urban,2,674124.0
2400.0,4,3,77,4.4,10.0,Suburban,1,852666.0
1158.0,2,1,14,9.0,7.4,Urban,1,490211.0
777.0,1,1,53,4.4,5.1,Suburban,1,317766.0
1485.0,2,2,69,2.5,6.3,Urban,2,570514.0
1874.0,4,4,60,5.5,5.9,Rural,1,690195.0
1736.0,3,3,36,9.5,7.6,Suburban,0,655859.0
1709.0,3,3,1,12.7,7.5,Urban,2,777802.0
1124.0,2,2,33,6.1,6.0,Suburban,0,523370.0
1210.0,2,2,22,8.9,9.8,Suburban,2,659979.0
1507.0,2,2,69,6.8,7.1,Rural,1,512179.0
1460.0,4,4,75,7.3,6.3,Suburban,0,629108.0
2459.0,3,3,18,,5.2,Suburban,0,849325.0
1958.0,2,2,12,3.6,5.7,Urban,0,680640.0
1480.0,2,2,65,2.7,5.1,Suburban,0,462099.0
2457.0,4,3,69,4.6,6.7,Urban,0,847442.0
2068.0,3,3,78,11.6,5.7,Rural,1,652278.0
985.0,1,1,61,16.7,8.2,Suburban,0,333863.0
500.0,1,2,37,11.6,6.1,Suburban,1,352968.0
1004.0,2,2,30,8.7,8.3,Suburban,0,558773.0
2157.0,4,3,4,6.7,7.7,Urban,1,866334.0
2335.0,4,3,70,11.5,8.0,Urban,0,908615.0
804.0,1,1,79,33.2,8.3,Urban,1,181059.0
2195.0,4,4,73,7.7,10.0,Urban,2,968015.0
2172.0,3,3,45,9.4,5.7,Urban,0,768048.0
2637.0,4,3,69,7.8,8.3,Suburban,2,891284.0
2370.0,4,3,0,19.5,7.6,Suburban,0,842682.0
2611.0,4,3,32,6.0,8.6,Suburban,2,928847.0
2093.0,2,2,8,3.6,7.2,Suburban,0,839714.0
2073.0,4,3,46,10.2,8.8,Urban,1,791850.0
1598.0,2,2,0,3.6,5.1,Suburban,1,626673.0
2292.0,4,4,24,8.1,,Urban,2,847600.0
1001.0,1,1,33,6.7,6.1,Rural,1,342363.0
1717.0,3,3,10,8.8,6.9,Suburban,1,681223.0
2124.0,4,3,6,6.9,7.1,Urban,0,832545.0
2645.0,5,3,72,1.5,5.9,Suburban,1,884943.0
1513.0,1,2,21,9.6,5.5,Suburban,0,494169.0
2380.0,3,2,78,8.3,6.0,Urban,0,824327.0
1682.0,2,2,29,13.3,4.4,Urban,0,588868.0
2392.0,5,4,4,3.9,6.6,Urban,2,1034662.0
1319.0,2,2,8,1.3,6.9,Suburban,1,652808.0
2236.0,4,3,55,10.1,7.7,Suburban,1,882037.0
1743.0,3,3,1,9.9,7.3,,1,773983.0
1089.0,1,1,75,9.5,9.7,Urban,0,431861.0
1708.0,2,3,20,0.7,8.2,Urban,2,744983.0
2593.0,4,4,48,21.5,8.1,Urban,1,919936.0
1188.0,3,3,35,0.5,7.5,Urban,1,688349.0
909.0,2,3,3,1.3,7.8,Suburban,0,554512.0
2039.0,4,3,56,2.4,6.7,Urban,0,790108.0
793.0,1,2,1,10.9,7.1,Urban,2,508217.0
