date,demand,promotion,holiday
2023-03-11,191.0,0,0
2023-03-12,239.0,0,0
2023-03-13,256.0,0,0
2023-03-14,265.0,0,0
2023-03-15,225.0,0,0
2023-03-16,201.0,0,0
2023-03-17,203.0,0,0
2023-03-18,188.0,0,0
2023-03-19,295.0,1,0
2023-03-20,255.0,0,0
2023-03-21,282.0,0,0
2023-03-22,248.0,0,0
2023-03-23,228.0,0,0
2023-03-24,212.0,0,0
2023-03-25,211.0,0,0
2023-03-26,233.0,0,0
2023-03-27,253.0,0,0
2023-03-28,231.0,0,0
2023-03-29,258.0,0,0
2023-03-30,234.0,0,0
2023-03-31,216.0,0,0
2023-04-01,212.0,0,0
2023-04-02,231.0,0,0
2023-04-03,296.0,1,0
2023-04-04,245.0,0,0
2023-04-05,238.0,0,0
2023-04-06,223.0,0,0
2023-04-07,210.0,0,0
2023-04-08,205.0,0,0
2023-04-09,217.0,0,0
2023-04-10,247.0,0,0
2023-04-11,259.0,0,0
2023-04-12,226.0,0,0
2023-04-13,223.0,0,0
2023-04-14,280.0,1,0
2023-04-15,201.0,0,0
2023-04-16,258.0,0,0
2023-04-17,246.0,0,0
2023-04-18,257.0,0,0
2023-04-19,251.0,0,0
2023-04-20,220.0,0,0
2023-04-21,185.0,0,0
2023-04-22,214.0,0,0
2023-04-23,233.0,0,0
2023-04-24,251.0,0,0
2023-04-25,261.0,0,0
2023-04-26,250.0,0,0
2023-04-27,209.0,0,0
2023-04-28,211.0,0,0
2023-04-29,203.0,0,0
2023-04-30,250.0,0,0
2023-05-01,266.0,0,0
2023-05-02,302.0,1,0
2023-05-03,259.0,0,0
2023-05-04,224.0,0,0
2023-05-05,265.0,1,0
2023-05-06,207.0,0,0
2023-05-07,227.0,0,0
2023-05-08,250.0,0,0
2023-05-09,247.0,0,0
2023-05-10,220.0,0,0
2023-05-11,211.0,0,0
2023-05-12,196.0,0,0
2023-05-13,195.0,0,0
2023-05-14,237.0,0,0
2023-05-15,310.0,1,0
2023-05-16,250.0,0,0
2023-05-17,238.0,0,0
2023-05-18,220.0,0,0
2023-05-19,193.0,0,0
2023-05-20,177.0,0,0
2023-05-21,243.0,0,0
2023-05-22,249.0,0,0
2023-05-23,259.0,0,0
2023-05-24,243.0,0,0
2023-05-25,199.0,0,0
2023-05-26,193.0,0,0
2023-05-27,206.0,0,0
2023-05-28,225.0,0,0
2023-05-29,236.0,0,0
2023-05-30,259.0,0,0
2023-05-31,246.0,0,0
2023-06-01,210.0,0,0
2023-06-02,211.0,0,0
2023-06-03,211.0,0,0
2023-06-04,231.0,0,0
2023-06-05,242.0,0,0
2023-06-06,251.0,0,0
2023-06-07,248.0,0,0
2023-06-08,196.0,0,0
2023-06-09,236.0,1,0
2023-06-10,198.0,0,0
2023-06-11,224.0,0,0
2023-06-12,245.0,0,0
2023-06-13,258.0,0,0
2023-06-14,239.0,0,0
2023-06-15,212.0,0,0
2023-06-16,192.0,0,0
2023-06-17,211.0,0,0
2023-06-18,292.0,1,0
2023-06-19,241.0,0,0
2023-06-20,254.0,0,0
2023-06-21,231.0,0,0
2023-06-22,195.0,0,0
2023-06-23,174.0,0,0
2023-06-24,214.0,0,0
2023-06-25,231.0,0,0
2023-06-26,248.0,0,0
2023-06-27,260.0,0,0
2023-06-28,223.0,0,0
2023-06-29,219.0,0,0
2023-06-30,197.0,0,0
2023-07-01,192.0,0,0
2023-07-02,192.0,0,0
2023-07-03,279.0,1,0
2023-07-04,267.0,0,0
2023-07-05,251.0,0,0
2023-07-06,189.0,0,0
2023-07-07,167.0,0,0
2023-07-08,211.0,0,0
2023-07-09,217.0,0,0
2023-07-10,230.0,0,0
2023-07-11,229.0,0,0
2023-07-12,214.0,0,0
2023-07-13,220.0,0,0
2023-07-14,192.0,0,0
2023-07-15,173.0,0,0
2023-07-16,207.0,0,0
2023-07-17,256.0,0,0
2023-07-18,246.0,0,0
2023-07-19,210.0,0,0
2023-07-20,195.0,0,0
2023-07-21,186.0,0,0
2023-07-22,204.0,0,0
2023-07-23,213.0,0,0
2023-07-24,252.0,0,0
2023-07-25,244.0,0,0
2023-07-26,198.0,0,0
2023-07-27,207.0,0,0
2023-07-28,183.0,0,0
2023-07-29,185.0,0,0
2023-07-30,217.0,0,0
2023-07-31,231.0,0,0
2023-08-01,242.0,0,0
2023-08-02,218.0,0,0
2023-08-03,248.0,1,0
2023-08-04,197.0,0,0
2023-08-05,191.0,0,0
2023-08-06,216.0,0,0
2023-08-07,226.0,0,0
2023-08-08,250.0,0,0
2023-08-09,225.0,0,0
2023-08-10,194.0,0,0
2023-08-11,253.0,1,0
2023-08-12,184.0,0,0
2023-08-13,267.0,1,0
2023-08-14,272.0,1,0
2023-08-15,229.0,0,0
2023-08-16,230.0,0,0
2023-08-17,196.0,0,0
2023-08-18,182.0,0,0
2023-08-19,185.0,0,0
2023-08-20,208.0,0,0
2023-08-21,278.0,1,0
2023-08-22,230.0,0,0
2023-08-23,216.0,0,0
2023-08-24,192.0,0,0
2023-08-25,186.0,0,0
2023-08-26,191.0,0,0
2023-08-27,223.0,0,0
2023-08-28,237.0,0,0
2023-08-29,224.0,0,0
2023-08-30,211.0,0,0
2023-08-31,206.0,0,0
2023-09-01,187.0,0,0
2023-09-02,252.0,1,0
2023-09-03,206.0,0,0
2023-09-04,225.0,0,0
2023-09-05,238.0,0,0
2023-09-06,202.0,0,0
2023-09-07,192.0,0,0
2023-09-08,202.0,0,0
2023-09-09,180.0,0,0
2023-09-10,206.0,0,0
2023-09-11,225.0,0,0
2023-09-12,251.0,0,0
2023-09-13,259.0,1,0
2023-09-14,202.0,0,0
2023-09-15,174.0,0,0
2023-09-16,176.0,0,0
2023-09-17,185.0,0,0
2023-09-18,248.0,0,0
2023-09-19,296.0,1,0
2023-09-20,202.0,0,0
2023-09-21,178.0,0,0
2023-09-22,170.0,0,0
2023-09-23,190.0,0,0
2023-09-24,204.0,0,0
2023-09-25,216.0,0,0
2023-09-26,232.0,0,0
2023-09-27,288.0,1,0
2023-09-28,201.0,0,0
2023-09-29,157.0,0,0
2023-09-30,171.0,0,0
2023-10-01,204.0,0,0
2023-10-02,229.0,0,0
2023-10-03,249.0,0,0
2023-10-04,218.0,0,0
2023-10-05,200.0,0,0
2023-10-06,152.0,0,0
2023-10-07,179.0,0,0
2023-10-08,214.0,0,0
2023-10-09,306.0,1,0
2023-10-10,272.0,1,0
2023-10-11,216.0,0,0
2023-10-12,173.0,0,0
2023-10-13,177.0,0,0
2023-10-14,197.0,0,0
2023-10-15,218.0,0,0
2023-10-16,228.0,0,0
2023-10-17,286.0,1,0
2023-10-18,251.0,0,0
2023-10-19,248.0,1,0
2023-10-20,174.0,0,0
2023-10-21,179.0,0,0
2023-10-22,190.0,0,0
2023-10-23,290.0,1,0
2023-10-24,243.0,0,0
2023-10-25,228.0,0,0
2023-10-26,261.0,1,0
2023-10-27,174.0,0,0
2023-10-28,185.0,0,0
2023-10-29,223.0,0,0
2023-10-30,225.0,0,0
2023-10-31,230.0,0,0
2023-11-01,234.0,0,0
2023-11-02,188.0,0,0
2023-11-03,169.0,0,0
2023-11-04,176.0,0,0
2023-11-05,243.0,0,0
2023-11-06,245.0,0,0
2023-11-07,246.0,0,0
2023-11-08,212.0,0,0
2023-11-09,205.0,0,0
2023-11-10,205.0,0,0
2023-11-11,194.0,0,0
2023-11-12,199.0,0,0
2023-11-13,241.0,0,0
2023-11-14,238.0,0,0
2023-11-15,227.0,0,0
2023-11-16,189.0,0,0
2023-11-17,177.0,0,0
2023-11-18,241.0,1,0
2023-11-19,205.0,0,0
2023-11-20,235.0,0,0
2023-11-21,234.0,0,0
2023-11-22,247.0,0,0
2023-11-23,209.0,0,0
2023-11-24,197.0,0,0
2023-11-25,192.0,0,0
2023-11-26,192.0,0,0
2023-11-27,248.0,0,0
2023-11-28,243.0,0,0
2023-11-29,234.0,0,0
2023-11-30,204.0,0,0
2023-12-01,163.0,0,0
2023-12-02,191.0,0,0
2023-12-03,208.0,0,0
2023-12-04,243.0,0,0
2023-12-05,252.0,0,0
2023-12-06,257.0,0,0
2023-12-07,213.0,0,0
2023-12-08,186.0,0,0
2023-12-09,193.0,0,0
2023-12-10,227.0,0,0
2023-12-11,253.0,0,0
2023-12-12,233.0,0,0
2023-12-13,231.0,0,0
2023-12-14,208.0,0,0
2023-12-15,175.0,0,0
2023-12-16,209.0,0,0
2023-12-17,226.0,0,0
2023-12-18,243.0,0,0
2023-12-19,309.0,1,0
2023-12-20,284.0,0,1
2023-12-21,275.0,0,1
2023-12-22,245.0,0,1
2023-12-23,229.0,0,1
2023-12-24,299.0,0,1
2023-12-25,274.0,0,1
2023-12-26,298.0,0,1
2023-12-27,276.0,0,1
2023-12-28,253.0,0,1
2023-12-29,244.0,0,1
2023-12-30,251.0,0,1
2023-12-31,284.0,0,1
2024-01-01,297.0,1,0
2024-01-02,261.0,0,0
2024-01-03,248.0,0,0
2024-01-04,245.0,0,0
2024-01-05,208.0,0,0
2024-01-06,194.0,0,0
2024-01-07,247.0,0,0
2024-01-08,247.0,0,0
2024-01-09,248.0,0,0
2024-01-10,259.0,0,0
2024-01-11,276.0,1,0
2024-01-12,202.0,0,0
2024-01-13,231.0,0,0
2024-01-14,227.0,0,0
2024-01-15,249.0,0,0
2024-01-16,267.0,0,0
2024-01-17,219.0,0,0
2024-01-18,224.0,0,0
2024-01-19,208.0,0,0
2024-01-20,203.0,0,0
2024-01-21,290.0,1,0
2024-01-22,261.0,0,0
2024-01-23,263.0,0,0
2024-01-24,258.0,0,0
2024-01-25,283.0,1,0
2024-01-26,263.0,1,0
2024-01-27,224.0,0,0
2024-01-28,241.0,0,0
2024-01-29,351.0,1,0
2024-01-30,278.0,0,0
2024-01-31,244.0,0,0
2024-02-01,206.0,0,0
2024-02-02,204.0,0,0
2024-02-03,193.0,0,0
2024-02-04,248.0,0,0
2024-02-05,259.0,0,0
2024-02-06,259.0,0,0
2024-02-07,260.0,0,0
2024-02-08,224.0,0,0
2024-02-09,274.0,1,0
2024-02-10,217.0,0,0
2024-02-11,243.0,0,0
2024-02-12,280.0,0,0
2024-02-13,281.0,0,0
2024-02-14,272.0,0,0
2024-02-15,235.0,0,0
2024-02-16,194.0,0,0
2024-02-17,213.0,0,0
2024-02-18,224.0,0,0
2024-02-19,277.0,0,0
2024-02-20,272.0,0,0
2024-02-21,272.0,0,0
2024-02-22,245.0,0,0
2024-02-23,216.0,0,0
2024-02-24,244.0,0,0
2024-02-25,257.0,0,0
2024-02-26,324.0,1,0
2024-02-27,334.0,1,0
2024-02-28,275.0,0,0
2024-02-29,240.0,0,0
2024-03-01,211.0,0,0
2024-03-02,211.0,0,0
2024-03-03,244.0,0,0
2024-03-04,316.0,1,0
2024-03-05,277.0,0,0
2024-03-06,254.0,0,0
2024-03-07,286.0,1,0
2024-03-08,235.0,0,0
2024-03-09,246.0,0,0
2024-03-10,239.0,0,0
2024-03-11,266.0,0,0
2024-03-12,273.0,0,0
2024-03-13,265.0,0,0
2024-03-14,241.0,0,0
2024-03-15,216.0,0,0
2024-03-16,234.0,0,0
2024-03-17,244.0,0,0
2024-03-18,267.0,0,0
2024-03-19,266.0,0,0
2024-03-20,274.0,0,0
2024-03-21,249.0,0,0
2024-03-22,227.0,0,0
2024-03-23,236.0,0,0
2024-03-24,264.0,0,0
2024-03-25,281.0,0,0
2024-03-26,286.0,0,0
2024-03-27,312.0,1,0
2024-03-28,220.0,0,0
2024-03-29,214.0,0,0
2024-03-30,255.0,0,0
2024-03-31,248.0,0,0
2024-04-01,292.0,0,0
2024-04-02,285.0,0,0
2024-04-03,263.0,0,0
2024-04-04,228.0,0,0
2024-04-05,215.0,0,0
2024-04-06,228.0,0,0
2024-04-07,249.0,0,0
2024-04-08,279.0,0,0
2024-04-09,270.0,0,0
2024-04-10,256.0,0,0
2024-04-11,249.0,0,0
2024-04-12,247.0,0,0
2024-04-13,230.0,0,0
2024-04-14,256.0,0,0
2024-04-15,326.0,1,0
2024-04-16,278.0,0,0
2024-04-17,261.0,0,0
2024-04-18,235.0,0,0
2024-04-19,230.0,0,0
2024-04-20,236.0,0,0
2024-04-21,248.0,0,0
2024-04-22,321.0,1,0
2024-04-23,272.0,0,0
2024-04-24,271.0,0,0
2024-04-25,229.0,0,0
2024-04-26,211.0,0,0
2024-04-27,232.0,0,0
2024-04-28,250.0,0,0
2024-04-29,270.0,0,0
2024-04-30,287.0,0,0
2024-05-01,262.0,0,0
2024-05-02,230.0,0,0
2024-05-03,280.0,1,0
2024-05-04,220.0,0,0
2024-05-05,260.0,0,0
2024-05-06,327.0,1,0
2024-05-07,264.0,0,0
2024-05-08,263.0,0,0
2024-05-09,227.0,0,0
2024-05-10,234.0,0,0
2024-05-11,226.0,0,0
2024-05-12,256.0,0,0
2024-05-13,263.0,0,0
2024-05-14,273.0,0,0
2024-05-15,265.0,0,0
2024-05-16,234.0,0,0
2024-05-17,210.0,0,0
2024-05-18,234.0,0,0
2024-05-19,251.0,0,0
2024-05-20,256.0,0,0
2024-05-21,270.0,0,0
2024-05-22,249.0,0,0
2024-05-23,229.0,0,0
2024-05-24,269.0,1,0
2024-05-25,222.0,0,0
2024-05-26,229.0,0,0
2024-05-27,263.0,0,0
2024-05-28,340.0,1,0
2024-05-29,278.0,0,0
2024-05-30,220.0,0,0
2024-05-31,231.0,0,0
2024-06-01,250.0,0,0
2024-06-02,242.0,0,0
2024-06-03,273.0,0,0
2024-06-04,284.0,0,0
2024-06-05,251.0,0,0
2024-06-06,243.0,0,0
2024-06-07,269.0,1,0
2024-06-08,233.0,0,0
2024-06-09,261.0,0,0
2024-06-10,280.0,0,0
2024-06-11,266.0,0,0
2024-06-12,262.0,0,0
2024-06-13,224.0,0,0
2024-06-14,256.0,1,0
2024-06-15,217.0,0,0
2024-06-16,251.0,0,0
2024-06-17,260.0,0,0
2024-06-18,286.0,0,0
2024-06-19,254.0,0,0
2024-06-20,215.0,0,0
2024-06-21,210.0,0,0
2024-06-22,210.0,0,0
2024-06-23,255.0,0,0
2024-06-24,267.0,0,0
2024-06-25,266.0,0,0
2024-06-26,260.0,0,0
2024-06-27,217.0,0,0
2024-06-28,197.0,0,0
2024-06-29,201.0,0,0
2024-06-30,216.0,0,0
2024-07-01,247.0,0,0
2024-07-02,271.0,0,0
2024-07-03,258.0,0,0
2024-07-04,214.0,0,0
2024-07-05,185.0,0,0
2024-07-06,210.0,0,0
2024-07-07,242.0,0,0
2024-07-08,268.0,0,0
2024-07-09,266.0,0,0
2024-07-10,235.0,0,0
2024-07-11,232.0,0,0
2024-07-12,212.0,0,0
2024-07-13,222.0,0,0
2024-07-14,224.0,0,0
2024-07-15,262.0,0,0
2024-07-16,271.0,0,0
2024-07-17,229.0,0,0
2024-07-18,214.0,0,0
2024-07-19,187.0,0,0
2024-07-20,201.0,0,0
2024-07-21,231.0,0,0
2024-07-22,237.0,0,0
2024-07-23,273.0,0,0
2024-07-24,257.0,0,0
2024-07-25,218.0,0,0
2024-07-26,196.0,0,0
2024-07-27,209.0,0,0
2024-07-28,248.0,0,0
2024-07-29,260.0,0,0
2024-07-30,236.0,0,0
2024-07-31,215.0,0,0
2024-08-01,262.0,1,0
2024-08-02,202.0,0,0
2024-08-03,187.0,0,0
2024-08-04,227.0,0,0
2024-08-05,231.0,0,0
2024-08-06,256.0,0,0
2024-08-07,243.0,0,0
2024-08-08,237.0,0,0
2024-08-09,199.0,0,0
2024-08-10,202.0,0,0
2024-08-11,244.0,0,0
2024-08-12,257.0,0,0
2024-08-13,255.0,0,0
2024-08-14,236.0,0,0
2024-08-15,235.0,0,0
2024-08-16,191.0,0,0
2024-08-17,187.0,0,0
2024-08-18,224.0,0,0
2024-08-19,245.0,0,0
2024-08-20,268.0,0,0
2024-08-21,240.0,0,0
2024-08-22,225.0,0,0
2024-08-23,168.0,0,0
2024-08-24,200.0,0,0
2024-08-25,243.0,0,0
2024-08-26,234.0,0,0
2024-08-27,249.0,0,0
2024-08-28,247.0,0,0
2024-08-29,207.0,0,0
2024-08-30,207.0,0,0
2024-08-31,196.0,0,0
2024-09-01,224.0,0,0
2024-09-02,255.0,0,0
2024-09-03,239.0,0,0
2024-09-04,227.0,0,0
2024-09-05,223.0,0,0
2024-09-06,188.0,0,0
2024-09-07,204.0,0,0
2024-09-08,236.0,0,0
2024-09-09,247.0,0,0
2024-09-10,255.0,0,0
2024-09-11,255.0,0,0
2024-09-12,239.0,0,0
2024-09-13,198.0,0,0
2024-09-14,197.0,0,0
2024-09-15,234.0,0,0
2024-09-16,236.0,0,0
2024-09-17,267.0,0,0
2024-09-18,229.0,0,0
2024-09-19,207.0,0,0
2024-09-20,184.0,0,0
2024-09-21,192.0,0,0
2024-09-22,238.0,0,0
2024-09-23,250.0,0,0
2024-09-24,250.0,0,0
2024-09-25,261.0,0,0
2024-09-26,213.0,0,0
2024-09-27,196.0,0,0
2024-09-28,189.0,0,0
2024-09-29,214.0,0,0
2024-09-30,235.0,0,0
2024-10-01,298.0,1,0
2024-10-02,231.0,0,0
2024-10-03,208.0,0,0
2024-10-04,205.0,0,0
2024-10-05,257.0,1,0
2024-10-06,246.0,0,0
2024-10-07,254.0,0,0
2024-10-08,243.0,0,0
2024-10-09,242.0,0,0
2024-10-10,269.0,1,0
2024-10-11,214.0,0,0
2024-10-12,213.0,0,0
2024-10-13,226.0,0,0
2024-10-14,268.0,0,0
2024-10-15,259.0,0,0
2024-10-16,245.0,0,0
2024-10-17,231.0,0,0
2024-10-18,209.0,0,0
2024-10-19,261.0,1,0
2024-10-20,225.0,0,0
2024-10-21,224.0,0,0
2024-10-22,231.0,0,0
2024-10-23,237.0,0,0
2024-10-24,208.0,0,0
2024-10-25,200.0,0,0
2024-10-26,217.0,0,0
2024-10-27,218.0,0,0
2024-10-28,230.0,0,0
2024-10-29,294.0,1,0
2024-10-30,228.0,0,0
2024-10-31,202.0,0,0
2024-11-01,201.0,0,0
2024-11-02,225.0,0,0
2024-11-03,291.0,1,0
2024-11-04,259.0,0,0
2024-11-05,259.0,0,0
2024-11-06,226.0,0,0
2024-11-07,244.0,0,0
2024-11-08,198.0,0,0
2024-11-09,217.0,0,0
2024-11-10,203.0,0,0
2024-11-11,251.0,0,0
2024-11-12,256.0,0,0
2024-11-13,240.0,0,0
2024-11-14,257.0,1,0
2024-11-15,206.0,0,0
2024-11-16,224.0,0,0
2024-11-17,257.0,0,0
2024-11-18,274.0,0,0
2024-11-19,275.0,0,0
2024-11-20,265.0,0,0
2024-11-21,298.0,1,0
2024-11-22,195.0,0,0
2024-11-23,215.0,0,0
2024-11-24,219.0,0,0
2024-11-25,262.0,0,0
2024-11-26,259.0,0,0
2024-11-27,245.0,0,0
2024-11-28,220.0,0,0
2024-11-29,178.0,0,0
2024-11-30,191.0,0,0
2024-12-01,246.0,0,0
2024-12-02,305.0,1,0
2024-12-03,276.0,0,0
2024-12-04,247.0,0,0
2024-12-05,206.0,0,0
2024-12-06,194.0,0,0
2024-12-07,208.0,0,0
2024-12-08,227.0,0,0
2024-12-09,259.0,0,0
2024-12-10,324.0,1,0
2024-12-11,256.0,0,0
2024-12-12,230.0,0,0
2024-12-13,223.0,0,0
2024-12-14,230.0,0,0
2024-12-15,230.0,0,0
2024-12-16,241.0,0,0
2024-12-17,261.0,0,0
2024-12-18,255.0,0,0
2024-12-19,224.0,0,0
2024-12-20,318.0,1,1
2024-12-21,245.0,0,1
2024-12-22,302.0,0,1
2024-12-23,315.0,0,1
2024-12-24,307.0,0,1
2024-12-25,287.0,0,1
2024-12-26,271.0,0,1
2024-12-27,271.0,0,1
2024-12-28,259.0,0,1
2024-12-29,279.0,0,1
2024-12-30,308.0,0,1
2024-12-31,299.0,0,1
2025-01-01,272.0,0,0
2025-01-02,242.0,0,0
2025-01-03,231.0,0,0
2025-01-04,243.0,0,0
2025-01-05,239.0,0,0
2025-01-06,271.0,0,0
2025-01-07,275.0,0,0
2025-01-08,280.0,0,0
2025-01-09,232.0,0,0
2025-01-10,201.0,0,0
2025-01-11,223.0,0,0
2025-01-12,261.0,0,0
2025-01-13,279.0,0,0
2025-01-14,278.0,0,0
2025-01-15,259.0,0,0
2025-01-16,244.0,0,0
2025-01-17,232.0,0,0
2025-01-18,288.0,1,0
2025-01-19,249.0,0,0
2025-01-20,275.0,0,0
2025-01-21,330.0,1,0
2025-01-22,279.0,0,0
2025-01-23,241.0,0,0
2025-01-24,216.0,0,0
2025-01-25,260.0,0,0
2025-01-26,247.0,0,0
2025-01-27,267.0,0,0
2025-01-28,269.0,0,0
2025-01-29,260.0,0,0
2025-01-30,254.0,0,0
2025-01-31,211.0,0,0
2025-02-01,237.0,0,0
2025-02-02,251.0,0,0
2025-02-03,270.0,0,0
2025-02-04,265.0,0,0
2025-02-05,270.0,0,0
2025-02-06,226.0,0,0
2025-02-07,229.0,0,0
2025-02-08,242.0,0,0
2025-02-09,233.0,0,0
2025-02-10,290.0,0,0
2025-02-11,264.0,0,0
2025-02-12,295.0,0,0
2025-02-13,246.0,0,0
2025-02-14,224.0,0,0
2025-02-15,242.0,0,0
2025-02-16,251.0,0,0
2025-02-17,310.0,1,0
2025-02-18,358.0,1,0
2025-02-19,271.0,0,0
2025-02-20,252.0,0,0
2025-02-21,234.0,0,0
2025-02-22,231.0,0,0
2025-02-23,250.0,0,0
2025-02-24,294.0,0,0
2025-02-25,297.0,0,0
2025-02-26,276.0,0,0
2025-02-27,265.0,0,0
2025-02-28,236.0,0,0
2025-03-01,256.0,0,0
2025-03-02,283.0,0,0
2025-03-03,300.0,0,0
2025-03-04,298.0,0,0
2025-03-05,266.0,0,0
2025-03-06,259.0,0,0
2025-03-07,233.0,0,0
2025-03-08,253.0,0,0
2025-03-09,286.0,0,0
2025-03-10,287.0,0,0
2025-03-11,281.0,0,0
2025-03-12,287.0,0,0
2025-03-13,255.0,0,0
2025-03-14,258.0,0,0
2025-03-15,246.0,0,0
2025-03-16,267.0,0,0
2025-03-17,346.0,1,0
2025-03-18,299.0,0,0
2025-03-19,256.0,0,0
2025-03-20,246.0,0,0
2025-03-21,254.0,0,0
2025-03-22,239.0,0,0
2025-03-23,268.0,0,0
2025-03-24,288.0,0,0
2025-03-25,288.0,0,0
2025-03-26,279.0,0,0
2025-03-27,244.0,0,0
2025-03-28,279.0,1,0
2025-03-29,249.0,0,0
2025-03-30,288.0,0,0
2025-03-31,300.0,0,0
2025-04-01,306.0,0,0
2025-04-02,294.0,0,0
2025-04-03,259.0,0,0
2025-04-04,242.0,0,0
2025-04-05,237.0,0,0
2025-04-06,279.0,0,0
2025-04-07,294.0,0,0
2025-04-08,288.0,0,0
2025-04-09,278.0,0,0
2025-04-10,244.0,0,0
2025-04-11,248.0,0,0
2025-04-12,266.0,0,0
2025-04-13,256.0,0,0
2025-04-14,304.0,0,0
2025-04-15,311.0,0,0
2025-04-16,267.0,0,0
2025-04-17,232.0,0,0
2025-04-18,243.0,0,0
2025-04-19,245.0,0,0
2025-04-20,266.0,0,0
2025-04-21,304.0,0,0
2025-04-22,292.0,0,0
2025-04-23,310.0,0,0
2025-04-24,238.0,0,0
2025-04-25,231.0,0,0
2025-04-26,236.0,0,0
2025-04-27,266.0,0,0
2025-04-28,363.0,1,0
2025-04-29,282.0,0,0
2025-04-30,270.0,0,0
2025-05-01,249.0,0,0
2025-05-02,240.0,0,0
2025-05-03,248.0,0,0
2025-05-04,263.0,0,0
2025-05-05,274.0,0,0
2025-05-06,294.0,0,0
2025-05-07,352.0,1,0
2025-05-08,266.0,0,0
2025-05-09,235.0,0,0
2025-05-10,246.0,0,0
2025-05-11,273.0,0,0
2025-05-12,299.0,0,0
2025-05-13,313.0,0,0
2025-05-14,282.0,0,0
2025-05-15,240.0,0,0
2025-05-16,221.0,0,0
2025-05-17,252.0,0,0
2025-05-18,249.0,0,0
2025-05-19,298.0,0,0
2025-05-20,286.0,0,0
2025-05-21,263.0,0,0
2025-05-22,314.0,1,0
2025-05-23,226.0,0,0
2025-05-24,249.0,0,0
2025-05-25,322.0,1,0
2025-05-26,264.0,0,0
2025-05-27,309.0,0,0
2025-05-28,292.0,0,0
2025-05-29,263.0,0,0
2025-05-30,248.0,0,0
2025-05-31,288.0,1,0
2025-06-01,277.0,0,0
2025-06-02,294.0,0,0
2025-06-03,265.0,0,0
2025-06-04,263.0,0,0
2025-06-05,241.0,0,0
2025-06-06,253.0,0,0
2025-06-07,228.0,0,0
2025-06-08,255.0,0,0
2025-06-09,268.0,0,0
2025-06-10,283.0,0,0
2025-06-11,286.0,0,0
2025-06-12,232.0,0,0
2025-06-13,239.0,0,0
2025-06-14,228.0,0,0
2025-06-15,338.0,1,0
2025-06-16,283.0,0,0
2025-06-17,286.0,0,0
2025-06-18,264.0,0,0
2025-06-19,249.0,0,0
2025-06-20,214.0,0,0
2025-06-21,238.0,0,0
2025-06-22,251.0,0,0
2025-06-23,327.0,1,0
2025-06-24,310.0,0,0
2025-06-25,286.0,0,0
2025-06-26,263.0,0,0
2025-06-27,240.0,0,0
2025-06-28,240.0,0,0
2025-06-29,274.0,0,0
2025-06-30,282.0,0,0
2025-07-01,346.0,1,0
2025-07-02,284.0,0,0
2025-07-03,253.0,0,0
2025-07-04,233.0,0,0
2025-07-05,243.0,0,0
2025-07-06,256.0,0,0
2025-07-07,282.0,0,0
2025-07-08,289.0,0,0
2025-07-09,251.0,0,0
2025-07-10,233.0,0,0
2025-07-11,235.0,0,0
2025-07-12,233.0,0,0
2025-07-13,308.0,1,0
2025-07-14,278.0,0,0
2025-07-15,256.0,0,0
2025-07-16,317.0,1,0
2025-07-17,238.0,0,0
2025-07-18,226.0,0,0
2025-07-19,240.0,0,0
