student_id,study_hours_per_week,attendance_pct,sleep_hours,prior_score,final_score,passed
S0044,5.7,87.0,6.8,76.3,90.2,1
S0045,5.4,69.8,8.5,72.4,83.1,1
S0046,5.7,76.8,6.5,44.8,77.3,1
S0047,7.0,84.9,8.6,69.1,95.6,1
S0048,5.7,82.6,7.1,60.8,79.3,1
S0049,6.6,78.8,7.3,51.4,86.9,1
S0050,5.3,80.9,8.7,89.9,92.0,1
S0051,5.8,79.2,6.6,90.5,81.8,1
S0052,6.5,83.7,6.0,85.7,99.7,1
S0053,2.1,98.2,6.5,71.3,68.8,1
S0054,4.5,53.8,7.5,85.6,69.0,1
S0055,4.2,79.4,5.3,68.2,68.6,1
S0056,3.9,83.9,7.7,70.6,71.4,1
S0057,4.6,85.3,6.4,53.8,75.2,1
S0058,8.3,77.9,8.3,73.2,95.0,1
S0059,3.4,62.7,4.4,68.8,65.5,1
S0060,7.2,85.6,6.1,51.1,88.6,1
S0061,1.7,100.0,5.1,67.3,69.5,1
S0062,4.5,65.1,6.1,67.0,76.0,1
S0063,5.5,91.5,7.3,91.4,93.8,1
S0064,6.4,78.4,6.8,79.6,92.6,1
S0065,6.7,81.3,6.7,68.1,74.6,1
S0066,6.9,70.4,6.8,71.2,84.8,1
S0067,4.5,78.3,7.2,68.6,64.9,1
S0068,4.2,96.3,5.9,65.4,78.1,1
S0069,7.0,88.4,7.8,53.9,86.9,1
S0070,4.8,100.0,7.7,66.0,89.4,1
S0071,2.5,95.0,7.4,58.3,77.3,1
S0072,2.8,86.8,7.6,51.7,69.6,1
S0073,3.3,100.0,7.3,74.6,75.7,1
S0074,6.2,86.8,9.2,73.1,93.4,1
S0075,5.5,91.1,6.9,44.8,74.5,1
S0076,6.7,78.7,6.7,66.4,86.0,1
S0077,4.3,82.7,6.2,80.9,86.3,1
S0078,5.5,74.3,5.9,81.8,80.6,1
S0079,6.5,92.9,5.6,81.3,95.9,1
S0080,4.6,69.0,6.0,68.5,79.4,1
S0081,6.2,90.6,6.9,57.0,78.0,1
S0082,3.8,79.9,7.4,53.9,77.4,1
S0083,4.4,94.9,7.1,72.5,86.0,1
S0084,4.4,90.3,6.2,72.9,80.5,1
S0085,2.7,100.0,8.0,84.7,75.2,1
S0086,6.2,90.0,7.8,82.3,86.8,1
S0087,4.2,64.7,6.8,66.3,70.2,1
S0088,5.2,81.3,6.3,51.8,79.3,1
S0089,6.2,69.1,7.6,63.9,77.0,1
S0090,6.1,76.3,7.2,70.8,87.9,1
S0091,6.6,98.6,5.4,65.4,80.3,1
S0092,5.0,89.0,6.9,60.5,78.3,1
S0093,4.3,74.3,7.3,71.3,78.1,1
S0094,5.0,70.8,6.0,61.4,90.4,1
S0095,1.7,82.4,7.2,59.8,56.2,0
S0096,2.2,68.6,5.4,72.0,74.4,1
S0097,2.4,74.6,8.5,62.8,69.4,1
S0098,3.1,85.4,8.4,71.2,78.0,1
S0099,6.0,94.7,6.7,71.6,88.6,1
S0100,3.3,88.7,7.4,53.2,73.5,1
S0101,4.4,56.8,4.3,61.7,67.9,1
S0102,7.9,85.3,5.7,86.7,100.0,1
S0103,4.5,82.8,6.7,52.9,71.0,1
S0104,6.7,86.6,5.8,40.5,86.5,1
S0105,3.2,99.8,7.8,43.8,66.5,1
S0106,4.8,59.3,9.2,68.4,77.6,1
S0107,3.2,75.5,5.7,68.4,64.0,1
S0108,4.5,88.5,6.1,66.5,80.8,1
S0109,7.0,64.6,7.3,83.8,99.0,1
S0110,1.6,98.2,8.8,33.3,60.8,1
S0111,6.1,86.1,5.7,73.1,84.7,1
S0112,5.7,91.3,7.3,88.3,84.4,1
S0113,4.0,75.7,9.0,53.3,71.7,1
S0114,2.2,91.0,5.2,63.1,57.3,0
S0115,5.4,93.8,5.6,58.2,74.3,1
S0116,4.1,84.6,6.5,56.4,74.7,1
S0117,5.7,84.6,6.4,63.8,90.0,1
S0118,5.2,85.0,7.9,86.6,100.0,1
S0119,8.6,72.5,7.3,91.9,97.2,1
S0120,4.7,80.4,5.0,63.6,84.2,1
S0121,3.1,80.3,7.6,92.8,81.0,1
S0122,5.6,86.2,6.4,68.5,82.2,1
S0123,5.7,93.0,8.4,90.8,95.8,1
S0124,8.1,70.4,6.3,66.8,90.5,1
S0125,7.0,80.6,6.3,69.7,88.8,1
S0126,5.9,98.3,7.6,72.8,87.0,1
S0127,8.3,73.8,7.8,98.0,93.7,1
S0128,2.7,73.0,7.5,79.1,63.6,1
S0129,3.9,84.2,5.1,58.8,75.4,1
S0130,3.3,91.3,7.6,80.6,77.4,1
S0131,4.4,82.1,5.9,63.3,71.8,1
S0132,2.3,96.6,7.3,61.6,70.4,1
S0133,6.5,91.4,5.4,79.8,95.0,1
S0134,4.7,91.3,7.5,68.4,82.8,1
S0135,2.1,88.1,6.1,71.6,65.6,1
S0136,3.1,100.0,5.6,68.2,81.5,1
S0137,5.9,79.7,7.8,72.4,95.3,1
S0138,7.0,60.0,7.3,73.5,89.6,1
S0139,9.4,99.6,6.3,42.8,100.0,1
S0140,11.3,77.0,8.6,76.7,100.0,1
S0141,6.1,83.2,6.5,55.2,87.9,1
S0142,3.1,96.4,7.0,49.3,73.7,1
S0143,0.7,64.4,7.3,67.2,63.1,1
S0144,5.8,68.2,6.3,69.1,83.9,1
S0145,3.5,64.4,7.5,59.0,62.5,1
S0146,4.3,73.3,6.4,78.8,82.7,1
S0147,3.9,86.8,6.5,50.6,63.3,1
S0148,4.9,87.8,8.5,62.7,76.5,1
S0149,7.4,85.0,5.9,60.4,95.7,1
S0150,5.5,66.5,4.3,67.4,81.9,1
S0151,4.9,56.6,8.8,71.6,87.3,1
S0152,3.0,82.6,9.8,54.9,70.1,1
S0153,1.7,76.8,6.6,77.4,60.9,1
S0154,4.2,87.1,4.9,68.8,74.4,1
S0155,5.1,89.7,6.7,43.4,75.6,1
S0156,8.9,83.5,6.7,42.5,90.2,1
S0157,5.5,90.4,6.8,67.8,90.5,1
S0158,7.3,84.5,5.8,65.1,86.1,1
S0159,4.2,87.8,7.6,66.7,80.4,1
S0160,2.7,74.2,7.6,67.6,64.1,1
S0161,3.2,80.0,5.4,70.9,74.2,1
S0162,3.7,84.2,7.8,80.3,79.6,1
S0163,9.7,91.0,9.3,53.6,95.7,1
S0164,3.5,77.7,7.2,52.8,67.8,1
S0165,7.0,87.7,6.6,53.8,84.3,1
S0166,3.3,79.1,6.8,71.8,72.1,1
S0167,7.2,80.7,7.7,84.2,100.0,1
S0168,6.0,91.1,5.1,62.4,82.1,1
S0169,4.9,60.1,7.2,35.5,65.6,1
S0170,5.1,67.7,6.6,45.8,59.2,0
S0171,3.8,65.7,9.0,57.2,66.5,1
S0172,6.1,56.3,6.8,60.7,76.8,1
S0173,4.2,74.5,8.8,62.7,72.4,1
S0174,2.6,90.2,5.8,68.5,79.1,1
S0175,2.5,78.9,7.6,63.9,68.1,1
S0176,5.6,84.2,7.4,81.6,95.2,1
S0177,8.5,94.0,6.0,59.2,94.3,1
S0178,5.5,96.6,7.2,56.8,82.7,1
S0179,5.0,81.2,8.3,74.2,82.8,1
S0180,5.8,96.9,6.6,48.0,80.6,1
S0181,7.9,83.0,5.1,73.1,100.0,1
S0182,5.7,72.8,7.0,69.3,68.1,1
S0183,4.3,75.5,6.0,66.1,62.9,1
S0184,7.5,65.7,6.6,88.6,90.3,1
S0185,6.1,72.2,6.9,59.9,81.1,1
S0186,8.4,78.1,5.1,94.8,100.0,1
S0187,5.6,90.8,5.2,65.1,84.6,1
S0188,2.6,100.0,7.5,51.4,67.4,1
S0189,2.3,66.8,6.4,68.9,72.3,1
S0190,8.7,86.3,4.2,54.0,95.8,1
S0191,8.8,70.6,7.9,58.2,93.8,1
S0192,4.8,87.2,7.3,73.2,88.2,1
S0193,4.4,80.6,6.2,75.2,80.5,1
S0194,8.3,61.9,5.6,59.9,83.4,1
S0195,2.9,92.2,7.9,80.8,82.2,1
S0196,3.3,75.3,7.4,83.0,77.6,1
S0197,6.6,76.1,9.6,86.7,94.1,1
S0198,4.4,70.2,7.5,74.9,87.0,1
S0199,5.2,74.8,7.4,85.7,70.7,1
S0200,4.9,86.7,6.8,43.5,65.2,1
S0201,5.9,79.9,7.9,63.9,76.7,1
S0202,8.2,85.6,7.7,56.7,89.8,1
S0203,5.4,86.0,8.4,69.5,83.3,1
S0204,6.6,96.5,6.4,60.6,77.9,1
S0205,0.9,78.2,6.5,65.8,55.5,0
S0206,5.1,65.8,6.5,92.5,79.1,1
S0207,3.4,93.7,7.9,65.8,91.1,1
S0208,2.6,78.4,8.6,73.4,84.1,1
S0209,3.4,94.3,6.5,65.0,71.9,1
S0210,4.5,86.2,6.5,69.0,76.7,1
S0211,7.1,80.6,7.3,68.1,82.7,1
S0212,2.4,85.8,6.7,73.8,60.2,1
S0213,5.3,100.0,8.0,83.1,89.5,1
S0214,4.2,100.0,4.5,89.4,77.6,1
S0215,4.5,82.8,6.1,72.0,78.2,1
S0216,7.3,83.8,6.1,75.7,82.1,1
S0217,6.3,93.8,4.4,53.0,76.6,1
S0218,8.0,72.7,5.9,66.9,90.9,1
S0219,4.9,85.7,6.0,80.2,85.1,1
S0220,3.7,81.7,6.8,79.3,80.6,1
S0221,4.7,85.5,8.2,70.8,74.2,1
S0222,5.7,72.8,6.7,79.5,89.9,1
S0223,5.6,64.5,5.9,74.4,75.5,1
S0224,2.9,59.2,6.9,83.6,75.8,1
S0225,5.4,69.7,8.2,71.8,82.2,1
S0226,5.7,77.0,5.9,63.4,71.7,1
S0227,10.5,78.8,6.0,72.4,100.0,1
S0228,9.1,100.0,7.6,29.9,93.3,1
S0229,3.4,94.2,6.8,73.0,80.8,1
S0230,4.6,71.4,7.7,25.0,64.8,1
S0231,2.1,85.8,7.0,45.6,72.0,1
S0232,4.0,77.5,7.8,73.9,83.9,1
S0233,5.9,78.9,5.9,74.2,82.5,1
S0234,7.7,84.0,7.0,52.9,92.6,1
S0235,3.7,88.8,6.8,58.7,84.9,1
S0236,3.8,78.3,5.7,85.8,90.2,1
S0237,0.7,93.7,5.3,61.7,53.5,0
S0238,4.9,69.4,7.8,97.2,81.1,1
S0239,3.0,82.1,6.6,68.0,80.5,1
S0240,4.1,100.0,5.9,73.3,73.8,1
